cue_id	mission	stage	speaker	direction	line	trigger
M03_S2_04_GOHAN	M03	2	GOHAN		Weapons loaded. Guess, the Benson's ours. We need that truck, not another car.	Matching playable objective event in M03
M03_S2_05_GUESS	M03	2	GUESS		I've got the weapons truck. Taking it to the foundry. Ice and Gohan, keep the depot clear until I'm out.	Matching playable objective event in M03
M04_S1_01_GOHAN	M04	1	GOHAN		Miller's meeting is in this surface lot. I'll take the breaker. Lights go out, the escort gets nervous.	Matching playable objective event in M04
M04_S1_02_ICE	M04	1	ICE		Breaker cut. Escort's mine. Guess is waiting in the chase car.	Matching playable objective event in M04
M04_S2_03_GUESS	M04	2	GUESS		Escort's down. I've got the car. Once we're ready, we go after Miller on the surface streets.	Matching playable objective event in M04
M04_S2_04_ICE	M04	2	ICE		He's moving. Stop the car or stop Miller, then get me that drive. Don't let him pull away.	Matching playable objective event in M04
M04_S2_05_ICE	M04	2	ICE		Drive secured. We have the meeting records. Let's see where Miller sent the money.	Matching playable objective event in M04
M05_S1_01_ICE	M05	1	ICE		I'm covering the coast. Shore guards first, then the dinghy. Gohan's already riding with Guess.	Matching playable objective event in M05
M05_S1_02_GUESS	M05	1	GUESS		Flare away. Gohan, stay aboard. Either of us can drive; whoever's got hands free takes the wheel.	Matching playable objective event in M05
M05_S1_03_GOHAN	M05	1	GOHAN		Mateo's running. Stay on him with the dinghy and get us alongside. We need him alive.	Matching playable objective event in M05
M05_S2_04_ENEMY	M05	2	MATEO	Bleeding against boat dashboard	Aegis paid us to keep that dock hot. Three crews. Three contracts. They wanted all three of you there.	Beach revelation
M05_S2_05_GOHAN	M05	2	GOHAN		Why us? He doesn't know. But whoever signed it has city money behind them. Police, port authority... somebody put us in that dock on purpose.	Trio realization
M05_S2_06_ICE	M05	2	ICE		Then we find out who.	Act I climax
M06_S1_01_GOHAN	M06	1	GOHAN		Feeder's dead. Ice, entrance is yours. Guess stays with the getaway.	Matching playable objective event in M06
M06_S1_02_ICE	M06	1	ICE		Moving in. Gohan, get to those racks. I'll hold the alley.	Matching playable objective event in M06
M06_S2_03_ICE	M06	2	ICE		SWAT's stacking up outside. Keep working, Gohan. We leave when the burn is done and the alley's quiet.	Matching playable objective event in M06
M06_S2_04_GOHAN	M06	2	GOHAN	Coughing through smoke	Burn complete. The backup is gone. We're ready to leave.	Matching playable objective event in M06
M06_S2_05_GUESS	M06	2	GUESS		Granger's ready. Finish the burn and get your asses back here. Both of you.	Matching playable objective event in M06
M07_S1_01_GOHAN	M07	1	GOHAN		Get me that receiver on the antenna and I'll pull whatever Aegis is moving.	Gameplay stage 1 entry
M07_S1_02_ICE	M07	1	ICE		Receiver clamped. Pulling manifests... Gohan, what are these engines?	Gameplay stage 2 completion
M07_S1_03_GOHAN	M07	1	GOHAN		Aegis is shipping two military turbine engines to Paleto. That's our target.	Gameplay stage 2 completion
M07_S2_04_ICE	M07	2	ICE		Aegis helicopter incoming. I need a way off this roof.	Gameplay stage 3 entry
M07_S2_05_GUESS	M07	2	GUESS		I'm underneath you, Ice. Find a safe way down and I'll be there.	Gameplay stage 3 entry
M08_S1_01_GUESS	M08	1	GUESS		Seven hundred horsepower, bulletproof casings, all-fuel intake. Nothing in San Andreas catches us.	Gameplay stage 1 entry
M08_S1_02_GOHAN	M08	1	GOHAN		Camera loop is active. Ice, the sentries are yours. Then Guess loads the engines.	Gameplay stage 1 completion
M08_S2_03_GUESS	M08	2	GUESS		Crate one seated! Ice, armored technical coming up the boat ramp!	Gameplay stage 4 entry
M08_S2_04_ICE	M08	2	ICE	Detonating grenade launcher	Technical is out. Guess, secure the second crate.	Gameplay stage 4 completion
M08_S2_05_GUESS	M08	2	GUESS		Chained down! Hitting the Del Perro connector!	Gameplay stage 7 entry
M09_S1_01_ICE	M09	1	ICE		Three Insurgents north past Harmony. Middle vehicle has Vance. Rear vehicle is escort.	Gameplay stage 1 entry
M09_S1_02_GUESS	M09	1	GUESS		I'm taking the Frogger toward the convoy. Ice, hold the ambush point and keep the rear escort in your sights.	Gameplay stage 2 entry
M09_S2_03_ICE	M09	2	ICE	Suppressed crack	Escort driver down. The transponder is still in his cab.	Gameplay stage 3 completion
M09_S2_04_GUESS	M09	2	GUESS		Ice, approach the stopped escort on foot. Pull its IFF unit. I'll keep watch from the Frogger.	Gameplay stage 4 entry
M09_S2_05_ICE	M09	2	ICE		Transponder secured. Code 7-Echo-Victor. We got military clearance tomorrow.	Gameplay stage 4 completion
M10_S1_01_GUESS	M10	1	GUESS		Don't let me get boxed in. This truck stops, we're done.	Gameplay stage 2 entry
M10_S1_02_ICE	M10	1	ICE		Bikes coming up both sides. I've got right. Take left!	Gameplay stage 2 entry
M10_S1_03_GOHAN	M10	1	GOHAN		I'm watching the route from here. Keep the truck intact; those engines are our way forward.	Gameplay stage 2 entry
M10_S2_04_ICE	M10	2	ICE		Buzzard is out. Guess, get us moving again.	Gameplay stage 3 completion
M10_S2_05_GUESS	M10	2	GUESS		Back in the truck. Tunnel's our way out.	Gameplay stage 4 entry
M10_S2_06_GOHAN	M10	2	GOHAN		Clear! Tunnel mouth ahead! Engines delivered!	Gameplay stage 4 completion
M11_S1_01_GUESS	M11	1	GUESS	Wrench ratcheting, air compressor hum	Torque converter locked. Roll on dyno! Let's see if this military turbine tears our gearbox in half!	Gameplay stage 1 completion
M11_S1_02_ICE	M11	1	ICE	Hands on steering wheel, throttle revving	Manifold pressure passing 25 PSI! RPM at 6,200! Exhaust temps holding green!	Gameplay stage 3 completion
M11_S1_03_GUESS	M11	1	GUESS	Leaning into driver window, grinning	Remember when we used to hotwire clunkers behind the Davis car wash? Now we tuning aerospace turbine engines in Burro Heights.	Gameplay stage 4 entry
M11_S1_04_ICE	M11	1	ICE	Chuckling softly	Fifteen years ago you couldn't change an alternator without stripping the threads, Guess. You came a long way.	Gameplay stage 4 entry
M11_S1_05_GOHAN	M11	1	GOHAN	Walking into shop with rugged laptop	Enjoy the nostalgia while you can, boys. Aegis just docked three billion in cartel gold bullion into Berth 44. We are taking it.	Gameplay stage 4 entry
M12_S1_01_GOHAN	M12	1	GOHAN		I'm launching the sub from the jetty. Sonar sweep first, then the hull scan.	Gameplay stage 1 entry
M12_S1_02_ICE	M12	1	ICE		Patrols are near the hull. Keep the sub deep and break their sight line.	Gameplay stage 2 entry
M12_S1_03_GOHAN	M12	1	GOHAN		Breach coordinates tagged. Hull thickness eight inches. We need acoustic plasma torches.	Gameplay stage 3 completion
M13_S1_01_ICE	M13	1	ICE		Charge three armed on barge hull. Guess, be ready on western canal slipway.	Gameplay stage 2 completion
M13_S1_02_GUESS	M13	1	GUESS		I'm holding the Granger at the slipway. Get aboard, then trigger the charges.	Gameplay stage 3 entry
M13_S1_03_ICE	M13	1	ICE		Charges blown! Basin is an inferno! Patrol boats burning at moorings!	Gameplay stage 4 completion
M14_S1_01_GUESS	M14	1	GUESS		That's the aircraft with the jammer hardware. Getting in, then taking it to McKenzie.	Gameplay stage 3 entry
M14_S1_02_ICE	M14	1	ICE		Radar coverage ahead. Stay in the dirt, under their sweep, and put it down at the airfield.	Gameplay stage 4 entry
M14_S1_03_GUESS	M14	1	GUESS		Cleared the pass! Pod jammer secured in McKenzie hangar.	Gameplay stage 4 completion
M15_S1_01_GOHAN	M15	1	GOHAN		I'm at the fiber point. Starting the optical bypass; cover the approach.	Gameplay stage 3 entry
M15_S1_02_ICE	M15	1	ICE		All three watchmen stunned. Still breathing. Gohan, finish the connection.	Gameplay stage 2 completion
M15_S1_03_GOHAN	M15	1	GOHAN		Lock gate controls mapped to my laptop. We control port access.	Gameplay stage 3 completion
M16_S1_01_ICE	M16	1	ICE		Helipad perimeter clear! Cargobob twin turbines spooled! Take the controls, Guess!	Gameplay stage 2 completion
M16_S1_02_GUESS	M16	1	GUESS		Taking the Cargobob through the canyon. Low enough to read the license plates.	Gameplay stage 4 entry
M16_S1_03_ICE	M16	1	ICE		Canyon's clear. Bring the lift to Terminal Island and set it down.	Gameplay stage 5 entry
M17_S1_01_GOHAN	M17	1	GOHAN		Plasma-arc torches calibrated. Can slice through eight-inch naval bulkhead in four minutes.	Gameplay stage 1 completion
M17_S1_02_GUESS	M17	1	GUESS		Hydraulic ballast grapples tested. Fifty-ton magnetic lock verified.	Gameplay stage 2 completion
M17_S1_03_ICE	M17	1	ICE		The sub is ready. Tomorrow night we hit Berth 44.	Gameplay stage 3 entry
M18_S1_01_ICE	M18	1	ICE		Tonight we hit Berth 44, take thirty tons of their gold, and finish what started.	Gameplay stage 5 entry
M18_S1_02_GUESS	M18	1	GUESS		Cargobob fueled. Just cut that container loose and I will hoist it.	Gameplay stage 5 entry
M18_S1_03_GOHAN	M18	1	GOHAN		Kraken sub submerged in position. Moving to Berth 44.	Gameplay stage 5 entry
M19_S1_01_GOHAN	M19	1	GOHAN		Breach is open. Next are the two ballast clamps. Staying in the Kraken to work them.	Gameplay stage 2 completion
M19_S1_02_ICE	M19	1	ICE		Container surfacing! Guess, bring the Cargobob in now!	Gameplay stage 3 completion
M19_S1_03_GOHAN	M19	1	GOHAN		Depth charges dropping! Surfacing to the boarding launch!	Gameplay stage 4 entry
M20_S1_01_GUESS	M20	1	GUESS		Cable locked! Hoisting thirty tons of bullion! KEEP RPGS OFF MY ROTORS!	Gameplay stage 3 completion
M20_S1_02_ICE	M20	1	ICE		Quayside gunners clear. Guess, bring the lift over the container and lock it on.	Gameplay stage 2 completion
M20_S1_03_GUESS	M20	1	GUESS		Full cyclic forward! We are airborne and clearing the cranes!	Gameplay stage 4 completion
M21_S1_01_GOHAN	M21	1	GOHAN		Running the launch alongside the lift. Ice, watch the boats. Guess, keep your route over the water.	Gameplay stage 2 entry
M21_S1_02_ICE	M21	1	ICE		Pursuit boats clear. Gohan, take the launch through the breakwater.	Gameplay stage 3 completion
M21_S1_03_GUESS	M21	1	GUESS		Water exit clear. I'm taking the bullion north. Meet me at the Alamo.	Gameplay stage 4 completion
M22_S1_01_GUESS	M22	1	GUESS	Turboprops cutting out, container splashing into mud	Container detached! Thirty tons of bullion sitting safe in four feet of Alamo water.	Gameplay stage 2 completion
M22_S1_02_ICE	M22	1	ICE	Looking south at black smoke column over mountains	Our Cypress Foundry is gone. Aegis just leveled the entire city block with precision cruise missiles.	Gameplay stage 4 entry
M22_S1_03_GOHAN	M22	1	GOHAN	Staring at laptop screen, jaw clenched	Servers, tools, clothes... everything we set up in Los Santos is ash. They declared us military combatants.	Gameplay stage 4 entry
M22_S1_04_GUESS	M22	1	GUESS	Kicking sand, determined glare	They burned our city shop? Fine. They don't know who they dealing with out here in the dirt. Blaine County belongs to us now.	Gameplay stage 4 entry
M22_S1_05_ICE	M22	1	ICE	Racking bolt of assault rifle	We need shelter before another strike. That radar site in the desert is our next move.	Gameplay stage 4 entry
M22_S1_06_GOHAN	M22	1	GOHAN		They know our names now. We take care of each other, and we take back the initiative.	Gameplay stage 4 entry
M23_S1_01_ICE	M23	1	ICE		Breaching upper radar dome. Four cartel riflemen on walkway.	Gameplay stage 1 entry
M23_S1_02_GUESS	M23	1	GUESS		The three storage bays are secure. We can stage the heavy rigs in this yard.	Gameplay stage 3 completion
M23_S1_03_GOHAN	M23	1	GOHAN		Generator room online. We have our command center in the desert.	Gameplay stage 4 completion
M24_S1_01_GUESS	M24	1	GUESS		First five tons recovered. Secure the haul; it still has to reach the radar base.	Gameplay stage 2 completion
M24_S1_02_ICE	M24	1	ICE		Sheriff cruisers coming over the ridge! They aren't taking this haul!	Gameplay stage 2 entry
M24_S1_03_GOHAN	M24	1	GOHAN		Crates loaded! Cash reserves replenished for Blaine operations.	Gameplay stage 3 completion
M25_S1_01_ICE	M25	1	ICE		Deputies blocked the southern pass. Detonating fuel tanker on bridge.	Gameplay stage 2 entry
M25_S1_02_GUESS	M25	1	GUESS		The extraction boat is waiting below, Ice. Use the parachute; I'll talk you down over the radio.	Gameplay stage 4 entry
M25_S1_03_ICE	M25	1	ICE		In the boat. Getting out of this gorge before another wave arrives.	Gameplay stage 5 completion
M26_S1_01_GUESS	M26	1	GUESS		Two spotters over the Alamo. Taking the Lazer up to stop them finding our stash.	Gameplay stage 2 entry
M26_S1_02_GOHAN	M26	1	GOHAN		Spotter one splashed! Spotter two is diving for Grapeseed-kill him!	Gameplay stage 3 entry
M26_S1_03_GUESS	M26	1	GUESS		Both spotters down in the lake! Our Alamo stash remains a ghost.	Gameplay stage 4 completion
M27_S1_01_GUESS	M27	1	GUESS	Shouting over roaring radial biplane engine and 160-knot gale	Taking the stunt plane up. I'll sit on the Shamal's wing close enough for the transfer. Say if it isn't close enough.	Gameplay stage 2 entry
M27_S1_02_ICE	M27	1	ICE	Breathing through oxygen mask	Transfer complete. In the cabin. Going for the flight locker.	Gameplay stage 2 completion
M27_S2_03_ICE	M27	2	ICE	Plasma torch hissing, hull metal ripping	The ledger is in this locker. Hold the jet steady while I secure it.	Gameplay stage 3 entry
M27_S2_04_GOHAN	M27	2	GOHAN	Monitoring black box telemetry on ground	The jet is losing its nose. Ice, bail out now and pull the chute. I've got the boat under you.	Gameplay stage 4 entry
M27_S2_05_ICE	M27	2	ICE	Kicking emergency door out into open sky	Ledger secured. Clear of the jet. Gohan, keep the boat where I can see it.	Gameplay stage 4 completion
M27_S2_06_GUESS	M27	2	GUESS	Diving plane alongside chute	You made the pickup. That ledger tells us who keeps Aegis in the air.	Gameplay stage 5 completion
M28_S1_01_GOHAN	M28	1	GOHAN		Surge unit connected. Hold them off while I bring the relay down.	Gohan begins the timed relay splice
M28_S1_02_ICE	M28	1	ICE		Aegis patrol responding. Gohan, finish the splice. I've got the approach.	Response squad engages after initial yard clearance
M28_S1_03_GOHAN	M28	1	GOHAN		Dish offline. Their northern teams just lost the shared feed. Let's get clear.	Relay splice completed
M29_S1_01_GUESS	M29	1	GUESS		Depot's clear. I'll take the road tanker. Ice, open the transfer valve.	Rail-depot guards cleared
M29_S1_02_ICE	M29	1	ICE		Fuel transferred. Valve closed. Guess, get it to the bunker before another patrol arrives.	Ice completes the transfer at the depot
M29_S1_03_GUESS	M29	1	GUESS		Tanker parked at the bunker. Keep the generator running; I'll keep track of the gauge.	Specified tanker delivered and unloaded
M30_S1_01_GUESS	M30	1	GUESS		Loose shale and a gunship behind me. Gohan, I need that sheltered route now.	Armed helicopter begins pursuit
M30_S1_02_GOHAN	M30	1	GOHAN		Take the next bend into the canyon. The rock walls will give you cover.	Truck reaches ridge descent checkpoint
M30_S1_03_GUESS	M30	1	GUESS		Parts are at the bunker, intact. Next delivery needs a bigger travel allowance.	Specified parts truck delivered and unloaded
M31_S1_01_ICE	M31	1	ICE		Claymores live on access gulley. Let them walk into the kill zone.	Minefield set
M31_S1_02_GOHAN	M31	1	GOHAN		CIWS tracking four incoming technicals. Engaging auto-fire!	Turret fire
M31_S1_03_ICE	M31	1	ICE		Ambush stopped. Perimeter held this time. Restock it, and keep the withdrawal route open.	Perimeter held
M32_S1_01_GOHAN	M32	1	GOHAN		Intake grates cut. Warhead storage is behind door four.	Sub-level dive
M32_S1_02_ICE	M32	1	ICE		Warheads secured in pelican cases. Guess, bring boat to estuary!	Zancudo escape
M32_S1_03_GUESS	M32	1	GUESS		Estuary pickup clean! We got military EMP warheads in our hands.	Base egress
M33_S1_01_ICE	M33	1	ICE		Firing smoke canisters! Blind their firing line!	Smoke ambush
M33_S1_02_GUESS	M33	1	GUESS		Ramos is in the trunk! Floor it before the gunships arrive!	Salt flat rally
M33_S1_03_GOHAN	M33	1	GOHAN		Ramos is breathing, but he's hurt. Get him through the wind farm. The codes can wait.	Code acquired
M34_S1_01_GUESS	M34	1	GUESS	Wipers scraping red desert sand, twin turbochargers spooling	Visibility is twenty feet! The wind turbines are spinning like guillotines! Ice, snipers on tower four!	Sandstorm driving
M34_S1_02_ICE	M34	1	ICE	Heavy twin .50-cal hammering rhythmically	Turbine catwalk suppressed! Keep this half-track moving down the service gully, Guess!	Turret barrage
M34_S1_03_GOHAN	M34	1	GOHAN	Operating rear detonator console	Seismic charges primed on the canyon walls! Detonating trail in three... two... one!	Seismic prime
M34_S1_04_GOHAN	M34	1	GOHAN		Rockslide triggered! The entire rear ridgeline just buried six pursuing Insurgents!	Rockslide triggered
M34_S1_05_GUESS	M34	1	GUESS		Bunker tunnel mouth dead ahead! Half-track pulled inside! Defector is alive!	Safe arrival
M35_S1_01_ICE	M35	1	ICE		Lead truck hit the mine! Box them in the canyon!	Mountain trap
M35_S1_02_GUESS	M35	1	GUESS		Anti-aircraft technical captured! Driving it into the bunker!	Technical hijack
M35_S1_03_GOHAN	M35	1	GOHAN		Munitions secured. Heavy firepower ready for the rig.	Munitions stored
M36_S1_01_GOHAN	M36	1	GOHAN		Ballast columns are reinforced concrete. Seismic charges must go on column 2.	Rig mapping
M36_S1_02_ICE	M36	1	ICE		Depth charge dropped north! Evade, Gohan!	Underwater evasion
M36_S1_03_GOHAN	M36	1	GOHAN		Sonar map completed. All demolition points marked.	Recon complete
M37_S1_01_GUESS	M37	1	GUESS		Drop tanks welded. One pass will blanket the entire rig in whiteout.	Plane retrofit
M37_S1_02_ICE	M37	1	ICE		Hangar secured. Flying both birds back to Sandy Shores.	Biplane delivery
M37_S1_03_GOHAN	M37	1	GOHAN		Smoke tanks are ready. They'll break visual contact, but radar and thermal crews can still find us.	Smoke ready
M38_S1_01_ICE	M38	1	ICE		Commercial charges in pit 3. Keep haulers rolling as cover.	Quarry shootout
M38_S1_02_GOHAN	M38	1	GOHAN		Charges loaded! Four hundred pounds of high-grade explosive!	Explosive secure
M38_S1_03_GUESS	M38	1	GUESS		Hauler clear of the quarry! Demolition charges locked down.	Quarry escape
M39_S1_01_GOHAN	M39	1	GOHAN		Thermite clamp ignited under thirty fathoms. Rig is cut off from mainland.	Cable severed
M39_S1_02_GUESS	M39	1	GUESS		Radar confirms rig's external communications flatlined. It's time.	Surface beacon
M39_S1_03_ICE	M39	1	ICE		Final countdown initiated. Moving all strike teams to the sea cave.	Sea cave muster
M40_S1_01_GUESS	M40	1	GUESS		Reinforced steel prows locked. These boats can ram straight through pontoons.	Boat armoring
M40_S1_02_ICE	M40	1	ICE		Mounted machine gun brackets fitted on both sterns.	Gun mounts fitted
M40_S1_03_GOHAN	M40	1	GOHAN		Armor fitted and both boats water-tested. Keep the engines covered; this isn't a guarantee.	Fleet ready
M41_S1_01_ICE	M41	1	ICE		General Bradley neutralized. Recovered his biometric security card.	Silenced hit
M41_S1_02_GOHAN	M41	1	GOHAN		Card grants root access to rig vault. Get off the mountain.	Lodge escape
M41_S1_03_GUESS	M41	1	GUESS		Snowmobile pickup waiting at the trail head. We are clear.	Snowmobile egress
M42_S1_01_GUESS	M42	1	GUESS		Cargo ramp open! Sub is airborne! Parachutes deployed!	Aerial airdrop
M42_S1_02_GOHAN	M42	1	GOHAN		Splashdown confirmed! Ballast tanks flooding-diving for the rig.	Ocean splashdown
M42_S1_03_ICE	M42	1	ICE		Gohan is in the water. Moving into flight position with the chopper.	Chopper ready
M43_S1_01_ICE	M43	1	ICE		Tonight we break their fortress and take our five hundred million.	Final muster
M43_S1_02_GUESS	M43	1	GUESS		Annihilator ready. When that rig burns, I'll be over the derrick.	Chopper spool
M43_S1_03_GOHAN	M43	1	GOHAN		Submersible holding at forty fathoms. Awaiting green light.	Sub ready
M44_S1_01_GOHAN	M44	1	GOHAN		Charges clamped on pylon two! Torpedo tubes disabled! Clear for air assault!	Pylon charges
M44_S1_02_ICE	M44	1	ICE		Copy that, Gohan. Guess and I are inbound on the chopper!	Inbound air
M44_S1_03_GUESS	M44	1	GUESS		Sixty-knot typhoon winds over the helipad! Coming in hot!	Helipad approach
M45_S1_01_ICE	M45	1	ICE		Touchdown on helipad! RPG bunker neutralized! Breaching elevator!	Helipad storm
M45_S1_02_GUESS	M45	1	GUESS		Holding hover above the crane! Watch the sniper catwalks!	Air cover
M45_S1_03_GOHAN	M45	1	GOHAN		Surfaced at lower moonpool! Moving to meet you on the command deck!	Moonpool breach
M46_S1_01_GOHAN	M46	1	GOHAN		Vault open! Half a billion in bearer bonds and all their bribery ledgers!	Vault plunder
M46_S1_02_ICE	M46	1	ICE		Pack the bags! Gohan, set the seismic detonator timer!	Timer armed
M46_S1_03_GUESS	M46	1	GUESS		Derrick structure is failing! Get to the edge for the jump!	Jump alert
M47_S1_01_GOHAN	M47	1	GOHAN		Pylons snapping! Superstructure going under! JUMP!	Rig collapse
M47_S1_02_ICE	M47	1	ICE		Chutes away! Hit the water and swim for the gunboats!	Ocean jump
M47_S1_03_GUESS	M47	1	GUESS		Picked up Ice and Gohan! Speedboats throttling up!	Boats mounted
M48_S1_01_GUESS	M48	1	GUESS		We got their money, we got their ledgers, and their rig is sunk! HEAD SOUTH!	Highway breach
M48_S1_02_ICE	M48	1	ICE		Los Santos is right ahead. Time to end this war where it started.	Act II finale
M48_S1_03_GOHAN	M48	1	GOHAN		The ledgers name their people in Los Santos. We go home with evidence this time.	Act II close
M49_S1_01_GUESS	M49	1	GUESS	Tires screaming on wet asphalt, engine roaring	Chumash roadblock in sight! Concrete barriers and two armored APCs! Hold your breath, I'm hitting the seam!	Roadblock approach
M49_S1_02_ICE	M49	1	ICE	Leaning out window with heavy thermal sniper	Spotlight towers one and two neutralized! Seam is clear, Guess-HIT IT!	Tower explosion
M49_S1_03_GOHAN	M49	1	GOHAN	Laptop typing rapidly	Local cell towers jammed! Police dispatch won't know the checkpoint fell for ninety seconds!	County line breach
M50_S1_01_GOHAN	M50	1	GOHAN	Whispering through comms	Optical splice online. Vault sub-level has six automated turrets and four guards. Ice, take the left corridor.	Archive infiltration
M50_S1_02_ICE	M50	1	ICE	Suppressed pistol double-tap	Corridor secured. Plant the wipe sequence, Gohan. We have three minutes before physical backup arrives.	Sentries silenced
M50_S1_03_GOHAN	M50	1	GOHAN		The local alerts are down. That buys us time, not an acquittal. Their backups still exist.	Warrant purge
M51_S1_01_ICE	M51	1	ICE		Limpet three seated on transformer bank north. Guess, watch that patrol crane!	Transformer climb
M51_S1_02_GUESS	M51	1	GUESS		Crane guard dropped with the silenced carbine. Last charge is armed! Move to the riverbed!	Charge plant
M51_S1_03_GOHAN	M51	1	GOHAN		Detonating in three... two... one... blackout.	Downtown skyline goes dark
M52_S1_01_ICE	M52	1	ICE	Controlled slow breathing	Harrison is stepping past the courthouse pillars. Wind speed 4 knots west. Lining up crosshairs.	Sniper zoom
M52_S1_02_ICE	M52	1	ICE	Suppressed crack	Target eliminated. Escort detail in disarray! Guess, pull up to the east stairs!	Target killed
M52_S1_03_GUESS	M52	1	GUESS	Motorcycle sliding onto marble steps	Hop on! We got three Aegis cruisers closing from Olympic!	Superbike escape
M53_S1_01_GOHAN	M53	1	GOHAN		Night vision active. Sweep team of eight advancing down track two. They have thermal scopes.	Night vision on
M53_S1_02_ICE	M53	1	ICE		Tripwires set at car three. Let them stack up at the doors... NOW!	Mine detonation
M53_S1_03_ICE	M53	1	ICE		Sweep team down. This corridor is clear. Keep somebody watching the next junction.	Tunnel cleared
M54_S1_01_GUESS	M54	1	GUESS		Express elevator keycard cloned. We got direct access from the parking garage straight to floor forty.	Elevator hack
M54_S1_02_ICE	M54	1	ICE		Balcony gives uninterrupted line-of-sight on Maze Bank Tower and City Hall. This is our forward combat post.	Perch overview
M54_S1_03_GOHAN	M54	1	GOHAN		Satellite link live. I'm marking the patrols transmitting nearby. Quiet teams won't show up.	Radar array active
M55_S1_01_ICE	M55	1	ICE		Breaching penthouse one! Suppressing four executive guards!	Breach 1
M55_S1_02_GOHAN	M55	1	GOHAN		Terminal bypassed at Arcadius! Sixty million identified. Copying the transfer authorizations!	Breach 2
M55_S1_03_GUESS	M55	1	GUESS		Vault cracked at Schlongberg! Downloading secondary ledger! 40 seconds left!	Breach 3
M55_S1_04_ICE	M55	1	ICE		All three nodes compromised! Parachute off the roofs to the canal!	Simultaneous BASE-jump
M56_S1_01_GUESS	M56	1	GUESS		Two armored APCs coming north under the 4th Street bridge! Ramming speed!	Aqueduct collision
M56_S1_02_ICE	M56	1	ICE		Pounding the lead APC engine block! Target detonated! Watch the overpass gunners!	Turret fire
M56_S1_03_GOHAN	M56	1	GOHAN		Chopper down! Flood channel is clear from Olympic to the harbor!	Channel cleared
M57_S1_01_GUESS	M57	1	GUESS		Jumping the surf break! Lock your Stinger on that lead Maverick!	Wave ramp jump
M57_S1_02_ICE	M57	1	ICE		Missile away! Direct hit on tail rotor! Bird is in the water!	Heli splashdown
M57_S1_03_GUESS	M57	1	GUESS		Beachfront clear! Heading for the Marina storm gates!	Pier escape
M58_S1_01_ICE	M58	1	ICE		Perimeter breached! Heavy fire on the main villa!	Cul-de-sac breach
M58_S1_02_GOHAN	M58	1	GOHAN		Tear gas dispersed into HVAC! Cartel capos fleeing through rear patio!	Gas deployment
M58_S1_03_GUESS	M58	1	GUESS		Their council's down. That breaks this command chain. Doesn't mean every crew in the city quits.	Compound cleared
