id	number	kind	type	owner	insert_after	prerequisite	audio_dir	assembly	class_name	title	act	location	time	weather	hud	synopsis
M11	11	main	Trio			M10	audio/Act1/M11			IRONCLAD DYNO	Act I	Burro Heights Chop Shop	15:00 HRS	Industrial Heat	Mount and calibrate stolen turbine engines on Guess's dyno lift.	Guess and Ice fabricate custom motor mounts to drop the 700-HP turbine into an up-armored Granger 3600LX. Player balances manifold boost pressure on the dyno. Gohan reveals Berth 44 holds $3B in cartel bearer bonds and gold.
M12	12	main	Trio			M11	audio/Act1/M12			BLACK TIDE RECON	Act I	Port of LS Berth 44	21:30 HRS	Night Fog	Pilot miniature ROV underwater drone to map freighter Titan Star.	Gohan launches an ROV drone from south jetty, navigating sonar buoys to scan the double-reinforced hull of hold 3 on the Aegis freighter Titan Star while Ice tracks surface patrol launches from the pier.
M13	13	main	Trio			M12	audio/Act1/M13			SMUGGLER'S CUT	Act I	La Puerta Basin	02:00 HRS	Drizzle	Sabotage cartel fuel barges to neutralize maritime pursuit craft.	Ice kayaks into La Puerta fuel depot, planting magnetic limpet charges across three maritime fuel barges while Gohan hacks harbor alarms. Ice detonates charges in a massive firestorm, escaping with Guess down the canal.
M14	14	main	Trio			M13	audio/Act1/M14			AIRSPACE BLACKOUT	Act I	Sandy Shores Auxiliary Field	18:00 HRS	Sunset	Steal military radar-jamming pod from Aegis desert airstrip.	Guess infiltrates a fortified hangar at Sandy Shores, hotwiring an Aegis ground-attack plane carrying a pod jammer. Ice provides overwatch with a thermal rifle, and Guess flies low over the Senora desert to evade SAM sites.
M15	15	main	Trio			M14	audio/Act1/M15			CRAWLSPACE	Act I	Port Authority Administration	23:30 HRS	Night / Rain	Tap undersea fiber trunk line under Port Authority headquarters.	Gohan enters maintenance vaults beneath Port Authority, splicing an optical tap into the harbor telemetry network. Ice silences roving guards with a tranquilizer pistol, granting full control of harbor lock gates.
M16	16	main	Trio			M15	audio/Act1/M16			THE HEAVY LIFT	Act I	Fort Zancudo Outer Logistics	03:00 HRS	High Winds	Hijack military heavy-lift Cargobob helicopter.	Using their military transponder, Ice and Guess breach Zancudo's outer depot. Ice storms the helipad, eliminating military police guards, and Guess pilots the heavy Cargobob over Raton Canyon while evading P-996 Lazer jet patrols.
M17	17	main	Trio			M16	audio/Act1/M17			SUB-ZERO PAYLOAD	Act I	Elysian Dry Docks	13:00 HRS	Industrial Overcast	Outfit Kraken submersible with acoustic cutting torches.	Gohan and Guess customize a civilian Kraken sub in a hidden Elysian dry-dock slip, welding plasma-arc cutting torches and high-pressure magnetic ballast grapples to haul underwater shipping containers.
M18	18	main	Trio			M17	audio/Act1/M18			THE STAGING LINE	Act I	Terminal Island Salt Flats	20:00 HRS	Night / Salt Fog	Position air, sea, and ground assets for the Port Heist.	All three stage their vehicles at Terminal Island: Gohan slips the Kraken into the channel, Guess conceals the Cargobob inside an abandoned salt hangar, and Ice loads heavy anti-aircraft launchers into the getaway hauler.
M19	19	main	Trio			M18	audio/Act1/M19			THE PORT HEIST: UNDERWATER BREACH	Act I Heist Part 1	Berth 44	03:00 HRS	Storm / Deep Water	Gohan cuts cargo hold bulkhead beneath freighter Titan Star.	Gohan dives the Kraken sub beneath Berth 44. Using acoustic torches, he burns a rectangular breach into hold 3, swimming inside the flooded compartment under depth-charge fire to clamp magnetic ballast floats to the bullion container.
M20	20	main	Trio			M19	audio/Act1/M20			THE PORT HEIST: SKY HOOK	Act I Heist Part 2	Port Outer Basin	03:20 HRS	Heavy Chopper Fire	Guess hooks floating container with Cargobob under AA fire.	Guess hovers the Cargobob over turbulent harbor waters while Ice fires a side-door minigun to suppress Aegis anti-aircraft gunners on the freighter deck. Guess locks the winch cable and hoists thirty tons of bullion into the sky.
M21	21	main	Trio			M20	audio/Act1/M21			THE PORT HEIST: OPEN WATER	Act I Heist Part 3	Outer Breakwater	03:45 HRS	Ocean Combat	Gohan escorts overweight Cargobob in an armored speed-launch.	Gohan races alongside the breakwater in an armed launch, drawing surface-to-air missile locks with thermal flares and destroying Aegis speedboats to protect the sluggish Cargobob as it clears the mountain ridge.
M22	22	main	Trio			M21	audio/Act1/M22			THE PORT HEIST: SCORCHED BAY	Act I Finale	Alamo Sea / Sandy Shores	04:30 HRS	Sunrise Smoke	Drop bullion in Alamo; safehouse destroyed by cruise missile.	Guess releases the container into shallow waters of Alamo Sea. As the trio regroups on the beach, Aegis launches a precision cruise missile airstrike that obliterates their Cypress Foundry in Los Santos, forcing them into Blaine County exile.
M23	23	main	Trio			M22	audio/Act2/M23			GHOST IN THE SAGE	Act II	Grand Senora Radar Facility	08:00 HRS	Desert Dust	Clear out cartel outpost at abandoned radar bunker for new base.	Ice and Guess assault an abandoned Cold War radar installation in Grand Senora occupied by cartel squatters, clearing bunker tunnels and securing underground storage bays for armored half-tracks and technicals.
M24	24	main	Trio			M23	audio/Act2/M24			LIQUID GOLD	Act II	Alamo Sea Shallows	14:00 HRS	Harsh Sunlight	Salvage first five tons of bullion from Alamo Sea with crane hauler.	Gohan and Guess pilot an industrial crane truck into the Alamo shallows to dredge up the first bullion crates for operating capital while Ice fends off corrupt Blaine County sheriff deputies attempting a shakedown.
M25	25	main	Trio			M24	audio/Act2/M25			BOUNTY HUNTERS' CANYON	Act II	Raton Canyon Suspension Bridge	17:30 HRS	Sunset / Shadows	Ice holds high bridge with thermal sniper against corrupt deputies.	Aegis places a $5M bounty on the trio. Corrupt deputies box Ice in Raton Canyon. Ice takes high ground on the railway bridge, using thermal sniper rounds to detonate fuel tankers and collapse access paths.
M26	26	main	Trio			M25	audio/Act2/M26			THE ALAMO SCRAMBLE	Act II	Alamo Airspace	11:00 HRS	Clear / High Wind	Dogfight over Alamo Sea in weaponized Dusters against spotters.	Cartel spotter planes search the Alamo for the submerged bullion. Guess takes to the sky in a customized Duster armed with twin machine guns, dogfighting two cartel biplanes over the water while Gohan jams emergency radio calls.
M27	27	main	Trio			M26	audio/Act2/M27			FLIGHT RISK	Act II Major	8,000 Ft Over Chiliad	16:30 HRS	High Wind	High-altitude plane-to-plane boarding at 8,000 ft; zero-G gunfight.	Guess matches speed above an Aegis Shamal jet at 8,000 ft. Ice leaps onto fuselage, cuts maintenance hatch with torch, and engages guards in zero-G as the jet enters a terminal dive. Ice steals flight ledgers and bails out at 4,000 ft into Gohan's Dinghy.
M28	28	main	Trio			M27	audio/Act2/M28			OFF THE GRID	Act II	Route 68 Repeater Station	21:00 HRS	Desert Darkness	Sever Aegis tactical satellite communications across Blaine County.	Gohan scales the Route 68 microwave relay array, splicing an EMP surge unit into the transformer to permanently blind Aegis tactical drone communications across the northern county sector.
M29	29	main	Trio			M28	audio/Act2/M29			DUST & DIESEL	Act II	Grapeseed Rail Spur	04:00 HRS	Pre-Dawn	Hijack military fuel train to replenish radar base generator reserves.	Guess jumps an armored trophy truck onto an open rail flatbed in Grapeseed. Ice decouples the rear tanker cars while under fire from train roof guards, routing fuel cars to the radar base spur line.
M30	30	main	Trio			M29	audio/Act2/M30			REDLINE RIDGE	Act II	Mount Josiah Ridgeline	15:30 HRS	Shale Shimmer	Trophy truck race down Mount Josiah while targeted by attack chopper.	Guess drives an upgraded turbine trophy truck down 45-degree shale slopes on Mount Josiah to deliver critical satellite parts while evading rocket runs from an Aegis Buzzard chopper.
M31	31	main	Trio			M30	audio/Act2/M31			THE IRON PERIMETER	Act II	Senora Desert Boundary	02:30 HRS	Starry Night	Plant remote landmines and automated CIWS turrets around base.	Ice and Gohan fortify the Grand Senora bunker perimeter, setting up claymores and automated CIWS anti-vehicle turrets to annihilate an incoming probing convoy of cartel hitmen.
M32	32	main	Trio			M31	audio/Act2/M32			BLACK SITE ZANCUDO	Act II	Fort Zancudo Water Plant	01:00 HRS	Deep Night	Infiltrate Fort Zancudo water treatment facility to steal EMP warheads.	Gohan and Ice scuba through drainage intake channels into Zancudo's secure ordnance bunker, extracting two tactical EMP missile warheads for the offshore rig assault.
M33	33	main	Trio			M32	audio/Act2/M33			THE INFORMANT'S GRAVE	Act II	Senora Salt Flats	20:00 HRS	Twilight	Rescue Aegis whistleblower from cartel execution squad.	The crew ambushes an execution squad on the salt flats to rescue Dr. Ramos, a senior Aegis cybernetics engineer who holds the security codes to the Paleto deep-sea oil rig.
M34	34	main	Trio			M33	audio/Act2/M34			MUD & IRON	Act II Major	RON Alternates Wind Farm	13:00 HRS	Blinding Dust Storm	Escort wounded defector in up-armored half-track through sandstorm.	Guess drives the half-track through a blinding sandstorm while Ice fires the dual .50-cal turret at snipers on wind turbine catwalks. Gohan detonates seismic charges to trigger a rockslide that buries pursuing Insurgents.
M35	35	main	Trio			M34	audio/Act2/M35			THE CHIANSKI AMBUSH	Act II	San Chianski Mountain Pass	19:00 HRS	Twilight	Ambush Aegis heavy munitions convoy winding through mountain pass.	Ice mines a narrow pass in the Chianski mountains, boxing in an Aegis armored convoy. Ice and Guess capture an armored anti-aircraft technical needed for the offshore rig.
M36	36	main	Trio			M35	audio/Act2/M36			DEEP WELL RECON	Act II	Paleto Cove	02:00 HRS	Oceanic Fog	Miniature sub recon to survey underwater defenses of deep-sea rig.	Gohan pilots the Kraken sub five miles offshore from Paleto Cove, mapping depth-charge launch tubes, sonar tripwires, and structural ballast columns of the Aegis drilling fortress.
M37	37	main	Trio			M36	audio/Act2/M37			THE GRAPESEED HARVEST	Act II	McKenzie Field	09:00 HRS	Morning Sun	Refit crop-dusters with heavy payload drop tanks for smoke bombs.	Guess and Ice steal two high-capacity crop dusters in Grapeseed, outfitting them with fuel-thickened chemical smoke tanks to blind the oil rig's surface radar during the upcoming assault.
M38	38	main	Trio			M37	audio/Act2/M38			BLOOD IN THE QUARRY	Act II	Davis Quartz Quarry	16:00 HRS	Harsh Glare	Raid Davis Quartz quarry to acquire commercial seismic charges.	Ice and Gohan fight private security at Davis Quartz quarry, using heavy haulers as moving shields to seize four crates of high-grade seismic borehole charges.
M39	39	main	Trio			M38	audio/Act2/M39			THE PALETO CABLE	Act II	Paleto Bay Shelf	22:30 HRS	Cold Ocean	Sever undersea fiber-optic cable powering the offshore rig.	Gohan dives to the continental shelf off Paleto Bay, placing an underwater thermite cutter on the primary undersea communications cable to isolate the rig from mainland support.
M40	40	main	Trio			M39	audio/Act2/M40			THE PHANTOM RIGGING	Act II	Paleto Cove Sea Cave	12:00 HRS	Damp Sea Mist	Armor high-speed Tropic speedboats with ramming prows and plates.	Guess and Ice weld steel plates and ballistic glass onto two high-speed Tropic offshore boats inside a secluded Paleto sea cave to prepare the extraction assault team.
M41	41	main	Trio			M40	audio/Act2/M41			THE GENERAL'S WIRE	Act II	Mount Chiliad Hunting Lodge	23:00 HRS	Blizzard	Assassinate Gen. Bradley, Aegis Tactical's military liaison.	Ice silently infiltrates a secluded hunting lodge on Mount Chiliad during a blizzard, eliminating General Bradley before he can authorize state air strikes on Blaine County.
M42	42	main	Trio			M41	audio/Act2/M42			SKYFALL DELIVERY	Act II	Offshore Paleto Shelf	03:00 HRS	Midnight Swells	High-altitude night drop of Kraken sub from Titan cargo plane.	Guess pilots a stolen Titan cargo plane at 10,000 ft off Paleto Bay. Gohan seals himself inside the Kraken sub in the cargo hold; Guess drops the sub into the ocean on parachutes.
M43	43	main	Trio			M42	audio/Act2/M43			STAGING PALETO	Act II	Paleto Bay Sea Cave	18:00 HRS	Sunset Tide	Final positioning of gunboats, sub, and extraction helicopter.	The trio stages all assets in the sea cave: Gohan stands by underwater in the sub, Ice prepares weapons in the gunboat, and Guess tests rotors on the Annihilator extraction chopper.
M44	44	main	Trio			M43	audio/Act2/M44			PALETO DEEP-SEA: SUB-SURFACE	Act II Heist Part 1	Offshore Rig	02:00 HRS	Typhoon Squalls	Gohan plants seismic charges on underwater rig stabilizer legs.	Gohan navigates the Kraken sub through underwater depth-charge fire to clamp seismic charges on the rig's structural pylons, disabling the automated sea defenses.
M45	45	main	Trio			M44	audio/Act2/M45			PALETO DEEP-SEA: HELIPAD BREACH	Act II Heist Part 2	Offshore Rig Helipad	02:20 HRS	Heavy Storm	Combat chopper drop on burning rig helipad in typhoon winds.	Guess pilots the Annihilator through 60-knot typhoon winds, dropping Ice onto the helipad. Ice clears heavy minigun emplacements and breaches the primary elevator shaft.
M46	46	main	Trio			M45	audio/Act2/M46			PALETO DEEP-SEA: VAULT CRACK	Act II Heist Part 3	Rig Command Deck	02:40 HRS	Emergency Alarms	Crack central vault to seize $500M in bearer bonds and database.	Ice and Gohan breach the armored command vault with hydraulic jaws and Bradley's keycard, packing $500M in bearer bonds and the master Aegis political escrow ledger into duffel bags.
M47	47	main	Trio			M46	audio/Act2/M47			PALETO DEEP-SEA: COLLAPSE	Act II Heist Part 4	Exploding Rig	03:00 HRS	Catastrophic Structural Fire	Detonate structural pylons; BASE-jump from collapsing derrick.	Gohan triggers the charges. The rig tilts 40 degrees as pylons snap. The trio fights across collapsing walkways and BASE-jumps into raging ocean waves as the drilling derrick explodes.
M48	48	main	Trio			M47	audio/Act2/M48			THE ROAD BACK SOUTH	Act II Finale	Great Ocean Highway	04:30 HRS	Sunrise Smoke	Armed convoy breakout through highway blockade into Los Santos.	The trio powers their armed speedboats to shore, mounts armored technicals, and blasts through an Aegis and police blockade along Great Ocean Highway, breaking back into Los Santos.
M49	49	main	Trio			M48	audio/Act3/M49			RETURN TO THE CONCRETE	Act III	Chumash / County Line	21:00 HRS	Torrential Rain	BREACH THE CHUMASH HIGHWAY CHECKPOINT AND ENTER LOS SANTOS COUNTY	The crew returns from Blaine County in the turbine-swapped Granger. The coastal county line at Chumash is barricaded by concrete roadblocks, Aegis APCs, and spotlight watchtowers. Guess rams the roadblock at 90 MPH while Ice snipes tower generators and Gohan deploys a directional RF scrambler to delay police dispatch.
M50	50	main	Trio			M49	audio/Act3/M50			THE REDACTED VAULT	Act III	Rockford Hills Archives	01:30 HRS	Fog / Drizzle	INFILTRATE MUNICIPAL ARCHIVES UNDER ROCKFORD HILLS TO WIPE WARRANTS	Aegis has issued shoot-on-sight biometric emergency warrants to all state law enforcement. Gohan hacks an underground optical conduit into the Rockford Municipal Records archive. Ice and Gohan silently eliminate private security sentries while Guess waits with an armored surveillance van outside. Gohan wipes their warrants from municipal mainframes.
M51	51	main	Trio			M50	audio/Act3/M51			BLACKOUT PROTOCOL	Act III	Palmer-Taylor Power Station	23:00 HRS	Overcast / Industrial	SABOTAGE PALMER-TAYLOR SUBSTATIONS TO CUT DOWNTOWN POWER GRID	To prepare for their downtown counter-offensive, the trio must plunge Downtown Los Santos into total darkness. Ice and Guess infiltrate the massive transformer yard at Palmer-Taylor, planting timed EMP limpet charges across the six main 500kV step-down transformers while Gohan overrides the automated emergency failovers.
M52	52	main	Trio			M51	audio/Act3/M52			JUDICIAL STRIKE	Act III	City Hall / Downtown LS	12:00 HRS	High Noon / Sun	ASSASSINATE CORRUPT PROSECUTOR HARRISON OUTSIDE CITY HALL	Chief Prosecutor Harrison is the state official who granted Aegis Tactical full immunity and military policing authority. Ice takes a sniper position on the roof of the Union Depository across the plaza. When Harrison exits City Hall surrounded by Aegis bodyguards, Ice executes a synchronized two-shot strike before Guess extracts him on a modified superbike.
M53	53	main	Trio			M52	audio/Act3/M53			SUBTERRANEAN SWEEP	Act III	Metro Transit Tunnels	03:00 HRS	Underground Darkness	AMBUSH AND CLEAR AEGIS SWEEP SQUADS IN THE PILLBOX SUBWAY SYSTEM	Aegis deploys elite night-vision sweep teams into the subway tunnels under Pillbox Hill to locate the crew's underground access routes. Ice and Gohan utilize night-vision goggles and proximity mines to ambush two heavily armed contractor squads inside a stalled subway train.
M54	54	main	Trio			M53	audio/Act3/M54			THE PILLBOX REDOUBT	Act III	Pillbox Hill Penthouse	16:00 HRS	Dusk / Smog	BREACH AND FORTIFY ABANDONED HIGH-RISE PENTHOUSE AS ACT III NEST	The crew breaches a luxury, foreclosed penthouse atop a 40-story residential tower overlooking Maze Bank. Guess hotwires the private express elevator; Ice sets up heavy sniper roosts on the balcony; Gohan wires an antenna array directly to the building's emergency satellite transmitter.
M55	55	main	Trio			M54	audio/Act3/M55			SKYLINE DESCENT	Act III Major	Downtown Skyscrapers	22:00 HRS	Heavy Fog / Thunder	SYNCHRONIZED TRIPLE INFILTRATION OF THREE DOWNTOWN PENTHOUSES	To dismantle Aegis's financial escrow, all three protagonists must simultaneously breach three corporate penthouses across Downtown within a strict 300-second window. Ice breaches the FIB contractor suite; Gohan hacks the offshore escrow terminal at Arcadius; Guess slides down the elevator cable at Schlongberg Sachs. Player rapidly swaps between all three.
M56	56	main	Trio			M55	audio/Act3/M56			IRON IN THE DRAIN	Act III	Los Santos River Aqueduct	15:00 HRS	Sunny / Concrete Heat	HEAVY VEHICLE ARMOR CLASH IN THE CANALS: HALF-TRACK VS AEGIS APCS	Aegis sends an armored battle group down the concrete storm channels of the Los Santos River to flush out the crew. Guess drives the up-armored half-track through the water channels while Ice fires the dual .50-cal turret to destroy two Aegis Scarab APCs and an attack chopper.
M57	57	main	Trio			M56	audio/Act3/M57			VESPUCCI FLAK	Act III	Vespucci Beach / Pier	18:30 HRS	Sunset / Surf	SHOOT DOWN PMC PATROL COPTERS FROM ARMED SEASHARK JET SKIS	Aegis gunships conduct low-altitude sweeps along Vespucci Beach looking for extraction boats. Guess and Ice mount weaponized Seasharks equipped with anti-air Stinger pods, skimming across breaker waves to shoot down three patrol choppers.
M58	58	main	Trio			M57	audio/Act3/M58			CARTEL DECAPITATION	Act III	Mirror Park Luxury Compound	02:00 HRS	Drizzle	ELIMINATE THE CIFUENTES CARTEL LEADERSHIP COUNCIL IN MIRROR PARK	The remnants of the Cifuentes Cartel have holed up in a fortified luxury cul-de-sac in Mirror Park. The trio executes a three-pronged breach: Ice covers the cul-de-sac with an LMG, Gohan drops tear gas through air vents, and Guess breaches the gates with an armored hauler.
M59	59	main	Trio			M58	audio/Act3/M59			THE WIRE CUTTERS	Act III	Vinewood Hills Radio Mast	10:00 HRS	Clear / High Wind	HIJACK VINEWOOD TRANSMITTER TO BROADCAST AEGIS BRIBERY PROOFS	Gohan climbs the central broadcast tower behind the Vinewood sign. Under sniper protection from Ice on the letters, Gohan overrides the public airwaves, broadcasting the decrypted Aegis offshore bribery recordings to every television and radio in the state.
M60	60	main	Trio			M59	audio/Act3/M60			SIEGE OF DAVIS	Act III Major	Davis Neighborhood	17:00 HRS	Smoke / Golden Hour	DEFEND CHILDHOOD NEIGHBORHOOD AGAINST AEGIS RETRIBUTIVE RAID	Furious over the media leak, Aegis deploys contractor death squads into Davis to burn the trio's old neighborhood to the ground. Ice, Gohan, and Guess return to their childhood streets, rallying local allies and setting up ambushes from rooftops to repel three waves of armored PMC invaders.
M61	61	main	Trio			M60	audio/Act3/M61			THE BLACK BOX	Act III	Port of LS Basin	23:30 HRS	Fog / Water Slosh	RETRIEVE AEGIS NAVAL COMMAND SERVER FROM SINKING GUNSHIP	An Aegis command gunship shot down during the port fighting sits half-submerged near Terminal Island. Gohan scuba-dives into the flooded bridge to rip the tactical command server before Aegis demolition frogmen can scuttle the wreck.
M62	62	main	Trio			M61	audio/Act3/M62			STEEL HORIZON	Act III Major	Pacific Coast Highway	05:00 HRS	Sunrise / Ocean Spray	TRI-MODAL CONVERGENT CHASE: COASTAL FREIGHT TRAIN HEIST	Aegis attempts to evacuate their final physical cash reserves and encrypted mainframes on a high-speed freight train running along the Pacific Coast Highway. Darius fights along automated flatbed railcars; Gohan matches speed in an offshore speedboat while sniping missile drones; Guess pilots an Annihilator chopper between cliff faces to extract the payload.
M63	63	main	Trio			M62	audio/Act3/M63			TOWER OF GLASS	Act III	Maze Bank Ground Plaza	21:00 HRS	Rainy Night / Flashing Sirens	BREACH THE BARRICADED GROUND LEVEL OF MAZE BANK TOWER	The finale begins. The crew attacks the headquarters of Aegis Tactical at the Maze Bank Tower in Downtown Los Santos. Guess rams an up-armored technical through the reinforced glass lobby doors; Ice suppresses heavy contractor machine gun nests; Gohan overrides security shutters.
M64	64	main	Trio			M63	audio/Act3/M64			THE 80TH FLOOR	Act III	Maze Bank High Floors	21:30 HRS	Elevator Shaft Firefight	ASCEND DISABLED ELEVATOR SHAFTS AND STAIRWELLS UNDER HEAVY FIRE	Aegis cuts power to the elevators at floor 50. The crew must fight their way up open stairwells and grapple up elevator cable shafts while dodging falling elevator cars dropped by enemies above.
M65	65	main	Trio			M64	audio/Act3/M65			EXECUTIVE PRIVILEGE	Act III	Maze Bank 100th-Floor Boardroom	22:00 HRS	Lightning Flashes	CONFRONT AEGIS CEO COLONEL VANCE AND CRACK HIS MASTER VAULT	The trio breaches the 100th-floor executive boardroom. Colonel Vance and his elite bodyguard unit make a desperate stand behind bulletproof glass. Ice neutralizes Vance in personal combat while Gohan forces Vance's biometrics to trigger the master financial collapse.
M66	66	main	Trio			M65	audio/Act3/M66			THE SPIRE EVACUATION	Act III	Maze Bank Spire Roof	22:30 HRS	Severe Storm	BASE-JUMP OFF MAZE BANK ROOF ANTENNA INTO BLINDING STORM CLOUDS	With Aegis QRF gunships surrounding the top of the tower and setting the roof ablaze with rockets, the three men climb the communications antenna spire and BASE-jump into the storm clouds, steering parachutes through skyscraper canyons to an extraction point on the Del Perro Freeway.
M67	67	main	Trio			M66	audio/Act3/M67			SCORCHED GRID	Act III	Del Perro Industrial Sub-Station	01:00 HRS	Rain / Night	DISTRIBUTE $500M ESCROW FUND TO UNTRACEABLE GLOBAL ACCOUNTS	Inside the moving extraction semi-truck, Gohan routes the seized $500M into decentralized offshore accounts, funding the crew's permanent disappearance while completely crashing the stock and credit rating of Aegis Tactical.
M68	68	main	Trio			M67	audio/Act3/M68			BLOOD BROTHERS: THE DRAIN	Act III Finale Part 1	LS River Canal	03:00 HRS	Fog / Flood	18-WHEELER CONVOY RUNNING BATTLE DOWN LOS SANTOS STORM CANAL	The three-stage campaign climax begins. Guess drives an armored 18-wheeler carrying their gold, cash, and equipment down the Los Santos River aqueduct toward LSIA. Ice operates a roof-mounted heavy turret suppressing chasing PMC gun-trucks while Gohan drops magnetic road mines.
M69	69	main	Trio			M68	audio/Act3/M69			BLOOD BROTHERS: RUNWAY 30L	Act III Finale Part 2	LSIA Runway 30L	03:30 HRS	Storm / Jet Blast	RAMPAGE DOWN LSIA RUNWAY DODGING LANDING COMMERCIAL AIRLINERS	The semi crashes through the perimeter gates of Los Santos International Airport. Guess weaves down active Runway 30L at 100 MPH, dodging incoming passenger jets, emergency vehicles, and Aegis SWAT barricades to reach the waiting C-130 cargo plane.
M70	70	main	Trio			M69	audio/Act3/M70			BLOOD BROTHERS: GROUNDED TITAN	Act III Grand Finale	LSIA Cargo Apron / Open Ocean	04:00 HRS	Sunrise	FINAL THREE-MAN CARGO PLANE SIEGE DEFENSE AND OCEANIC BREAKOUT	The C-130 cargo plane's nose gear is disabled by an RPG strike, preventing immediate takeoff. Inside the grounded fuselage on the runway, Ice, Gohan, and Guess make their legendary last stand against three waves of PMC commandos, attack choppers, and federal assault teams. With the plane burning, Guess starts all four turboprops, taxiing the massive aircraft at full power down the ocean seawall ramp into the deep waters of the Pacific, where their submersible and ocean launches are waiting to carry the three brothers away into freedom.
