cue_id	mission	phase	speaker	direction	line
M01_SCENE_INTRO_04_ICE	M01	intro	ICE	Private channel; no recognition or shared conversation	Mateo Cifuentes. The contract says identify him, keep him alive and trace the shipment. From here I can watch the yard without crossing it.
M01_SCENE_INTRO_05_GUESS	M01	intro	GUESS	Private channel; no recognition or shared conversation	There it is. Bay two, the four-door prototype. My car stays here when I take that one. Whoever owns it won't be pleased.
M01_SCENE_INTRO_06_GOHAN	M01	intro	GOHAN	Private channel; no recognition or shared conversation	I used to audit books like these. The numbers tell you who got paid. Missing entries tell you who somebody wants forgotten.
M01_SCENE_INTRO_07_ICE	M01	intro	ICE	Private channel; no recognition or shared conversation	Mateo's checking shipping records with a dock technician. I don't know who's moving through the yard below. I keep the scope on him until I'm certain.
M01_SCENE_INTRO_08_GUESS	M01	intro	GUESS	Private channel; no recognition or shared conversation	No names on the job, no backup promised. All right. Easy through the gate. Let's find out what they paid for.
M01_SCENE_RECOGNITION_01_GOHAN	M01	recognition	GOHAN	Face-to-face reunion; anger interrupted by danger	Copy finished. The alarm opened their dock security channel. Can anyone hear me? Shooters coming into the yard!
M01_SCENE_RECOGNITION_02_ICE	M01	recognition	ICE	Face-to-face reunion; anger interrupted by danger	Wait. That voice... Devin? Gohan? Stay in cover. I'm watching the yard.
M01_SCENE_RECOGNITION_03_GUESS	M01	recognition	GUESS	Face-to-face reunion; anger interrupted by danger	Why am I hearing my high school graduation on a tactical radio? Ice? Both of you?
M01_SCENE_RECOGNITION_04_GOHAN	M01	recognition	GOHAN	Face-to-face reunion; anger interrupted by danger	Darius. Ron. I thought you were both out of this city.
M01_SCENE_RECOGNITION_05_GUESS	M01	recognition	GUESS	Face-to-face reunion; anger interrupted by danger	I came back. Tried your old numbers. Figured scholarships bought you two somewhere you didn't need to call from.
M01_SCENE_RECOGNITION_06_ICE	M01	recognition	ICE	Face-to-face reunion; anger interrupted by danger	Mine bought me a way out. Didn't teach me how to come home. We can't do this here.
M01_SCENE_RECOGNITION_07_GOHAN	M01	recognition	GOHAN	Face-to-face reunion; anger interrupted by danger	You said you were leaving after graduation. You didn't say we'd have to spend fifteen years guessing if you were alive.
M01_SCENE_RECOGNITION_08_GUESS	M01	recognition	GUESS	Face-to-face reunion; anger interrupted by danger	We can be angry in a moving car. There's room for three. Tell me you remember how to get in one.
M01_SCENE_RECOGNITION_09_ICE	M01	recognition	ICE	Face-to-face reunion; anger interrupted by danger	Mateo's running for the slipway. Let him lead us to the buyers. Cover each other and get to Guess's car.
M01_SCENE_OUTRO_01_GOHAN	M01	outro	GOHAN	Reflective; allow the response to land	The dock cameras tagged all three of us. An Aegis van is carrying the upload. We have to catch it.
M01_SCENE_OUTRO_02_GUESS	M01	outro	GUESS	Reflective; allow the response to land	Fifteen years without a call. Now we're sharing a wanted poster. Nobody disappears before we talk.
M01_SCENE_ESCAPE_01_MATEO	M01	escape	MATEO	Staged action	Fifteen years apart and the three of you still show up to the same dock. Tell whoever sent you the ledger's already gone.
M01_SCENE_ESCAPE_02_ICE	M01	escape	ICE	Staged action	He's on the water. Let him go. The copy tells us where he lands.
M02_SCENE_INTRO_01_GOHAN	M02	intro	GOHAN	Briefing; intent before tactics	The van has the dock recording. I can hack it from the passenger seat. Keep me close enough to punch into their signal while I cut the upload.
M02_SCENE_INTRO_02_ICE	M02	intro	ICE	Briefing; intent before tactics	Guess drives, Gohan works the connection. If they spot us, I cover the car. Once the van stops, I take the physical drives.
M02_SCENE_OUTRO_01_GUESS	M02	outro	GUESS	Reflective; allow the response to land	You still give orders like the bell's about to ring. I can find us a shop in Cypress, if you can ask.
M02_SCENE_OUTRO_02_ICE	M02	outro	ICE	Reflective; allow the response to land	Can you get us somewhere safe, Guess? And Gohan... keep that drive. I want to hear what it says.
M02_SCENE_STASH_01_GUESS	M02	stash	GUESS	At the curb; the prototype stays, the crew boards the Granger	Three million dollars of somebody's prototype, and it's the most recognizable car in the city. It stays here. The Granger's clean.
M02_SCENE_STASH_02_GOHAN	M02	stash	GOHAN	At the curb; the prototype stays, the crew boards the Granger	Their van is already moving. Every minute it drives, that upload gets closer to landing. I need the back seat and a clear signal.
M02_SCENE_STASH_03_ICE	M02	stash	ICE	At the curb; the prototype stays, the crew boards the Granger	Then drive, Guess. Gohan works the connection; I keep them off the car. Nobody stops until that van does.
M03_SCENE_INTRO_01_GUESS	M03	intro	GUESS	Briefing; intent before tactics	Cypress Foundry has space, but no armor or equipment. That depot gives us a place we can actually defend.
M03_SCENE_INTRO_02_GOHAN	M03	intro	GOHAN	Briefing; intent before tactics	Guess delays the rail response. Ice clears the depot; I load its weapons. Then Guess brings the Benson home. Shared base, shared information.
M03_SCENE_OUTRO_01_ICE	M03	outro	ICE	Reflective; allow the response to land	Miller's selling the dock forensics. We go after him next. Everybody gets the file before we move.
M03_SCENE_OUTRO_02_GUESS	M03	outro	GUESS	Reflective; allow the response to land	Three keys to the shop. Keep yours this time. I got tired of being the only one checking the door.
M03_SCENE_SPLIT_01_ICE	M03	split	ICE	At the base; the depot team boards the van and pulls away	Gohan and I take the van to the depot and wait on your call. Nobody moves on that yard until the rail is dead.
M03_SCENE_SPLIT_02_GUESS	M03	split	GUESS	At the base; the depot team boards the van and pulls away	Then I'll make it loud. Give me twenty minutes and a straight road, and don't start without me.
M03_SCENE_LOADING_01_GOHAN	M03	loading	GOHAN	At the Benson; crates carried into the bed by hand	Rifles, plates, ammunition. Cartel-bought and never fired. Three crates and the truck is full.
M03_SCENE_LOADING_02_GOHAN	M03	loading	GOHAN	At the Benson; crates carried into the bed by hand	Last one. She's yours, Guess. Don't scrape her on the gate.
M04_SCENE_INTRO_01_GOHAN	M04	intro	GOHAN	Briefing; intent before tactics	Miller has our forensics and an Aegis buyer. The van's drive gave us the meeting. We need his copy.
M04_SCENE_INTRO_02_GUESS	M04	intro	GUESS	Briefing; intent before tactics	Gohan takes the breaker in the surface lot. Ice clears the escort; I chase Miller for his drive. His car or him, we stop one. Tell me where this stops after that, Ice.
M04_SCENE_OUTRO_01_ICE	M04	outro	ICE	Reflective; allow the response to land	Miller's drive points to Mateo's sea cave. Mateo can tell us who paid for this. We bring him in breathing.
M04_SCENE_OUTRO_02_GOHAN	M04	outro	GOHAN	Reflective; allow the response to land	Then let me ask the questions. A corpse can't explain why three separate clients sent us to one dock.
M04_SCENE_TRANSACTION_01_MILLER	M04	transaction	MILLER	Staged action; support cast on set, brothers in position	Two copies. This one's yours when the transfer clears. The other one stays with me.
M04_SCENE_TRANSACTION_02_BUYER	M04	transaction	BUYER	Staged action; support cast on set, brothers in position	Aegis pays on delivery, Detective. Open it.
M04_SCENE_TRANSACTION_03_GOHAN	M04	transaction	GOHAN	Staged action; support cast on set, brothers in position	Case is real, and it's in his hand. I'm at the breaker. Lights go out on my count.
M05_SCENE_INTRO_01_GOHAN	M05	intro	GOHAN	Briefing; intent before tactics	Mateo is hiding offshore. If Aegis burns him before we reach him, we lose the only person who knows the setup.
M05_SCENE_INTRO_02_ICE	M05	intro	ICE	Briefing; intent before tactics	I cover the shore. Guess and Gohan take the dinghy: signal the cove, close on Mateo, bring him in breathing. I missed my shot when I heard your voice. Don't make me regret it.
M05_SCENE_OUTRO_01_GUESS	M05	outro	GUESS	Reflective; allow the response to land	You said take the war to Blaine. Fine, later. Our faces are still sitting in a police evidence vault here.
M05_SCENE_OUTRO_02_GOHAN	M05	outro	GOHAN	Reflective; allow the response to land	Mateo's accusation isn't proof yet. First the backup servers. Then we follow the money he was protecting.
M06_SCENE_INTRO_01_GOHAN	M06	intro	GOHAN	Briefing; intent before tactics	The mobile upload was one copy. Vespucci has the backup. Burning it buys us time; it doesn't erase who saw us.
M06_SCENE_INTRO_02_GUESS	M06	intro	GUESS	Briefing; intent before tactics	I wait in the Granger. Gohan cuts the feeder, Ice takes the entrance, then Gohan burns the racks while Ice holds SWAT. Both of you come back before we leave.
M06_SCENE_OUTRO_01_ICE	M06	outro	ICE	Reflective; allow the response to land	You called the window and I took it. We made it because you were watching something I couldn't see.
M06_SCENE_OUTRO_02_GOHAN	M06	outro	GOHAN	Reflective; allow the response to land	Now we need their traffic, not their cameras. The microwave dish should tell us what Aegis is moving.
M07_SCENE_INTRO_01_GOHAN	M07	intro	GOHAN	Briefing; intent before tactics	Mateo named Aegis. This tap lets us test his story against their own manifests. Don't destroy the dish.
M07_SCENE_INTRO_02_ICE	M07	intro	ICE	Briefing; intent before tactics	I used to trust a uniform to tell me whose side I was on. Give me something I can verify.
M07_SCENE_OUTRO_01_GUESS	M07	outro	GUESS	Reflective; allow the response to land	Two engines, bound for Paleto. Steal their speed and maybe we stop finishing every job with holes in the doors.
M07_SCENE_OUTRO_02_GOHAN	M07	outro	GOHAN	Reflective; allow the response to land	Elysian warehouse first. This is a supply route. Each shipment should tell us where the next one goes.
M08_SCENE_INTRO_01_GUESS	M08	intro	GUESS	Briefing; intent before tactics	Those turbines are the difference between hauling armor and dying inside it. I'll choose what the truck can carry.
M08_SCENE_INTRO_02_ICE	M08	intro	ICE	Briefing; intent before tactics	Take the time you need to secure them. I won't call you slow while I'm standing behind your armor.
M08_SCENE_OUTRO_01_GOHAN	M08	outro	GOHAN	Reflective; allow the response to land	The crates need a quiet transfer before the final run. While they're hidden, we can lift an IFF from Vance's convoy.
M08_SCENE_OUTRO_02_GUESS	M08	outro	GUESS	Reflective; allow the response to land	Colonel Vance. Same surname as you, Ice. I won't invent a connection, but don't make me ask twice if there is one.
M09_SCENE_INTRO_01_ICE	M09	intro	ICE	Briefing; intent before tactics	The colonel isn't family. He's Aegis command. We take his escort's clearance unit; chasing him costs us the route.
M09_SCENE_INTRO_02_GUESS	M09	intro	GUESS	Briefing; intent before tactics	Good. Tell me the part that might change your judgment before I put the Frogger over that convoy.
M09_SCENE_OUTRO_01_ICE	M09	outro	ICE	Reflective; allow the response to land	Seven-Echo-Victor gets us past a military checkpoint. Save it for the heavy lift. The engines still need delivering.
M09_SCENE_OUTRO_02_GUESS	M09	outro	GUESS	Reflective; allow the response to land	Then we finish the job we parked. No fresh score until those crates are off the road.
M10_SCENE_INTRO_01_GUESS	M10	intro	GUESS	Briefing; intent before tactics	The engines are back on the hauler. Aegis knows they're missing. Keep their bikes off me and I'll keep us moving.
M10_SCENE_INTRO_02_GOHAN	M10	intro	GOHAN	Briefing; intent before tactics	I'm watching the route. Call the danger you see; I'll keep the way out on your map.
M10_SCENE_OUTRO_01_ICE	M10	outro	ICE	Reflective; allow the response to land	You stopped joking on that bridge. I should've noticed how close we were before you had to tell me.
M10_SCENE_OUTRO_02_GUESS	M10	outro	GUESS	Reflective; allow the response to land	I joke when I'm nervous too. Learn the difference. Tomorrow we bolt these things into something that brings us home.
M11_SCENE_INTRO_01_GUESS	M11	intro	GUESS	Briefing; intent before tactics	Nobody fires a shot today unless this engine starts shooting first. Ice, hold the throttle where I put it.
M11_SCENE_INTRO_02_ICE	M11	intro	ICE	Briefing; intent before tactics	Your shop, your call. I owe you a day where keeping us alive doesn't mean driving through a roadblock.
M11_SCENE_OUTRO_01_GOHAN	M11	outro	GOHAN	Reflective; allow the response to land	Berth 44 has gold and bonds on the manifest. Three billion is the shipment's claim, not money we can spend.
M11_SCENE_OUTRO_02_GUESS	M11	outro	GUESS	Reflective; allow the response to land	We survey it before we dream about it. And if we get rich, nobody buys the right to vanish without a goodbye.
M12_SCENE_INTRO_01_GOHAN	M12	intro	GOHAN	Briefing; intent before tactics	The manifest gives us a hold number. The ROV tells us whether a container can actually come out through the hull.
M12_SCENE_INTRO_02_GUESS	M12	intro	GUESS	Briefing; intent before tactics	You're quiet when you're worried. Used to mean an exam. Now it means I should check my fuel twice.
M12_SCENE_OUTRO_01_GOHAN	M12	outro	GOHAN	Reflective; allow the response to land	The hull can be breached, but surface patrols will box in the extraction. We need their boats short of fuel.
M12_SCENE_OUTRO_02_ICE	M12	outro	ICE	Reflective; allow the response to land	You showed us the part that wouldn't work. Keep doing that. I can plan around a problem you tell me about.
M13_SCENE_INTRO_01_ICE	M13	intro	ICE	Briefing; intent before tactics	The fuel barges supply harbor pursuit. Take them out and the heist's slowest vehicle gets a chance to leave.
M13_SCENE_INTRO_02_GOHAN	M13	intro	GOHAN	Briefing; intent before tactics	Check the waterline before you plant. A fuel worker isn't Aegis command just because he's working their slipway.
M13_SCENE_OUTRO_01_GUESS	M13	outro	GUESS	Reflective; allow the response to land	Fewer boats behind us. That still leaves radar above us. Sandy Shores has the jammer pod we need.
M13_SCENE_OUTRO_02_ICE	M13	outro	ICE	Reflective; allow the response to land	Copy. We're making an exit, not collecting explosions. Keep me honest about that.
M14_SCENE_INTRO_01_GUESS	M14	intro	GUESS	Briefing; intent before tactics	The stolen pod has to survive the flight. Blinding their radar is worth more than winning a dogfight tonight.
M14_SCENE_INTRO_02_ICE	M14	intro	ICE	Briefing; intent before tactics	If the approach closes, call it off. I'd rather change the heist than put your name on a memorial.
M14_SCENE_OUTRO_01_GUESS	M14	outro	GUESS	Reflective; allow the response to land	Pod's ours. Hearing you say I could turn back made it easier to make the run. Funny how that works.
M14_SCENE_OUTRO_02_GOHAN	M14	outro	GOHAN	Reflective; allow the response to land	Air cover sorted. I still need the harbor gate network before we move anything through the channel.
M15_SCENE_INTRO_01_GOHAN	M15	intro	GOHAN	Briefing; intent before tactics	This fiber trunk runs the lock gates. Without access, our exit becomes a basin with the doors shut.
M15_SCENE_INTRO_02_ICE	M15	intro	ICE	Briefing; intent before tactics	Talk me through the tap. I don't need every circuit. I need to know when you're committed and can't move.
M15_SCENE_OUTRO_01_GOHAN	M15	outro	GOHAN	Reflective; allow the response to land	Gate access is ready. Keeping a copy on each of your devices. If I go down, the plan still belongs to all three.
M15_SCENE_OUTRO_02_GUESS	M15	outro	GUESS	Reflective; allow the response to land	You aren't a spare part, Gohan. But thank you for trusting us with your work.
M16_SCENE_INTRO_01_ICE	M16	intro	ICE	Briefing; intent before tactics	The convoy's IFF buys an approach to Zancudo. It won't make us invisible once Guess starts the Cargobob.
M16_SCENE_INTRO_02_GUESS	M16	intro	GUESS	Briefing; intent before tactics	I'll call when the aircraft is ready. You leave the fight then, even if there's somebody left to be angry at.
M16_SCENE_OUTRO_01_ICE	M16	outro	ICE	Reflective; allow the response to land	I heard you. You got the lift out. We'll meet at Terminal. The helicopter is ours and the clearance trick is burned.
M16_SCENE_OUTRO_02_GOHAN	M16	outro	GOHAN	Reflective; allow the response to land	Now the submerged load needs a way to float. Bring that lifting capacity to the dry dock.
M17_SCENE_INTRO_01_GOHAN	M17	intro	GOHAN	Briefing; intent before tactics	The Kraken needs cutters and ballast grapples. A hole in a ship means nothing if the cargo stays on the bottom.
M17_SCENE_INTRO_02_GUESS	M17	intro	GUESS	Briefing; intent before tactics	You build like you expect nobody to come get you. Put a release on this thing that another person can reach.
M17_SCENE_OUTRO_01_GOHAN	M17	outro	GOHAN	Reflective; allow the response to land	All right. External release, where either of you can reach it. I learned to work alone. That doesn't mean I want to die that way.
M17_SCENE_OUTRO_02_ICE	M17	outro	ICE	Reflective; allow the response to land	We rehearse the pickups at staging. Everybody knows how to bring the other two back.
M18_SCENE_INTRO_01_ICE	M18	intro	ICE	Briefing; intent before tactics	Sub, Cargobob, hauler. Check the fuel and the exits now. Once Gohan cuts the hull, this stops being preparation.
M18_SCENE_INTRO_02_GUESS	M18	intro	GUESS	Briefing; intent before tactics	One rule from me: if somebody calls abort, we answer before we argue. A container isn't a fourth brother.
M18_SCENE_OUTRO_01_GOHAN	M18	outro	GOHAN	Reflective; allow the response to land	I used to think being useful was how I earned a place here. Tonight, if I need help, I'll say it.
M18_SCENE_OUTRO_02_ICE	M18	outro	ICE	Reflective; allow the response to land	Then we go in with that understood. Hold three first. No one starts a different fight.
M19_SCENE_INTRO_01_GOHAN	M19	intro	GOHAN	Briefing; intent before tactics	I'm taking the sub under Berth 44. Listen for my breathing. If the radio gets too quiet, ask me a question.
M19_SCENE_INTRO_02_ICE	M19	intro	ICE	Briefing; intent before tactics	What did Guess break at the car wash? I've got enough answers to keep you talking all night.
M19_SCENE_OUTRO_01_GOHAN	M19	outro	GOHAN	Reflective; allow the response to land	Ballast attached. Cargo is coming up. Guess, your turn. And Ice... it was the owner's new radio.
M19_SCENE_OUTRO_02_GUESS	M19	outro	GUESS	Reflective; allow the response to land	It was already broken. Hook line coming down. Don't settle that argument under thirty tons of metal.
M20_SCENE_INTRO_01_GUESS	M20	intro	GUESS	Briefing; intent before tactics	Gohan floated the load. I hook it; Ice keeps the quayside gunners off the rotor. Nobody mistakes altitude for safety.
M20_SCENE_INTRO_02_ICE	M20	intro	ICE	Briefing; intent before tactics	Call the strain before the engine does. We can lose weight. We can't lose you.
M20_SCENE_OUTRO_01_GUESS	M20	outro	GUESS	Reflective; allow the response to land	She's airborne, barely. I can't dodge anything with this hanging under us. Gohan, I need that water route clear.
M20_SCENE_OUTRO_02_GOHAN	M20	outro	GOHAN	Reflective; allow the response to land	I'm on your flank. Follow my boat. You don't have to invent an exit while you're holding the whole score.
M21_SCENE_INTRO_01_GOHAN	M21	intro	GOHAN	Briefing; intent before tactics	The Cargobob can't outrun a missile with the container attached. I'll draw the surface boats away from its path.
M21_SCENE_INTRO_02_GUESS	M21	intro	GUESS	Briefing; intent before tactics	Stay where I can see you. Protecting me doesn't mean you're allowed to disappear under the water.
M21_SCENE_OUTRO_01_ICE	M21	outro	ICE	Reflective; allow the response to land	We have a route to the Alamo. Drop the load shallow enough to recover. Everybody lands before we count it.
M21_SCENE_OUTRO_02_GUESS	M21	outro	GUESS	Reflective; allow the response to land	I want one minute on the beach where nobody asks me to keep moving.
M22_SCENE_INTRO_01_ICE	M22	intro	ICE	Briefing; intent before tactics	The container goes into the shallows. Nobody takes the whole shipment home in one night. We recover it in pieces.
M22_SCENE_INTRO_02_GOHAN	M22	intro	GOHAN	Briefing; intent before tactics	That strike came off a contract airframe with a city permit and our address on file. They spent the one shot they can explain. The next one needs a target they can prove.
M22_SCENE_OUTRO_01_GUESS	M22	outro	GUESS	Reflective; allow the response to land	That shop was going to be ours. Not a hideout. A place you two might actually stay.
M22_SCENE_OUTRO_02_ICE	M22	outro	ICE	Reflective; allow the response to land	I said I could defend it. I was wrong. We get shelter in Senora, then we count people before equipment.
M23_SCENE_INTRO_01_ICE	M23	intro	ICE	Briefing; intent before tactics	The radar bunker gives us cover after Cypress. We clear the outpost, but nobody calls it home because I say so.
M23_SCENE_INTRO_02_GUESS	M23	intro	GUESS	Briefing; intent before tactics	A door that locks is a start. A way out is better. I'll check the second one while you take the first.
M23_SCENE_OUTRO_01_GOHAN	M23	outro	GOHAN	Reflective; allow the response to land	The bunker holds. I can work here. We still need fuel and money to keep three people alive out here.
M23_SCENE_OUTRO_02_GUESS	M23	outro	GUESS	Reflective; allow the response to land	Then we recover only what we can guard from the Alamo. No more betting the house on the whole pile.
M24_SCENE_INTRO_01_GOHAN	M24	intro	GOHAN	Briefing; intent before tactics	Five tons first. The rest stays hidden. We need operating money, not a convoy that advertises the entire haul.
M24_SCENE_INTRO_02_ICE	M24	intro	ICE	Briefing; intent before tactics	If deputies arrive, call them out. Keep that cable steady; I've got the ridge.
M24_SCENE_OUTRO_01_GUESS	M24	outro	GUESS	Reflective; allow the response to land	Enough recovered to keep the lights on. The rest can wait. I'm keeping track of what surviving actually costs.
M24_SCENE_OUTRO_02_ICE	M24	outro	ICE	Reflective; allow the response to land	Those deputies knew too much. Assume every isolated road can turn into a bounty trap.
M25_SCENE_INTRO_01_ICE	M25	intro	ICE	Briefing; intent before tactics	Aegis put five million on us. The deputies in Raton aren't making an arrest. I'm taking the high ground.
M25_SCENE_INTRO_02_GOHAN	M25	intro	GOHAN	Briefing; intent before tactics	Send the route before you move. You don't have to keep the danger to yourself to keep us out of it.
M25_SCENE_OUTRO_01_ICE	M25	outro	ICE	Reflective; allow the response to land	I nearly did it again. Went quiet so neither of you would hear the pressure in my voice. Next time, I'll make the call.
M25_SCENE_OUTRO_02_GUESS	M25	outro	GUESS	Reflective; allow the response to land	Make it early. Their spotters are over the Alamo now. We protect the water together.
M26_SCENE_INTRO_01_GUESS	M26	intro	GUESS	Briefing; intent before tactics	Those planes are searching for the submerged gold. The Lazer we towed out of Zancudo under the M16 clearance is fueled in the McKenzie hangar. I'll take it. Gohan, keep them from calling in a fix.
M26_SCENE_INTRO_02_ICE	M26	intro	ICE	Briefing; intent before tactics	I'm listening to your channel. If you need me, you get an answer. That's the part I can promise.
M26_SCENE_OUTRO_01_GOHAN	M26	outro	GOHAN	Reflective; allow the response to land	The spotters' traffic points to an Aegis charter. Its flight ledger may show where their arms pipeline goes.
M26_SCENE_OUTRO_02_GUESS	M26	outro	GUESS	Reflective; allow the response to land	Then we intercept it with an actual pickup plan. Ice isn't jumping into a promise with no boat underneath.
M27_SCENE_INTRO_01_GUESS	M27	intro	GUESS	Briefing; intent before tactics	I put you over the Shamal. Gohan has the sea pickup. Check your parachute twice; I want an argument about this later.
M27_SCENE_INTRO_02_ICE	M27	intro	ICE	Briefing; intent before tactics	You both get a vote. If either of you says the approach is wrong, I stay in the plane.
M27_SCENE_OUTRO_01_GOHAN	M27	outro	GOHAN	Reflective; allow the response to land	The flight ledger connects the northern relays to an offshore installation. First we cut the network tracking us.
M27_SCENE_OUTRO_02_ICE	M27	outro	ICE	Reflective; allow the response to land	I heard your boat before I saw it. For once I knew somebody was waiting. Don't make a joke yet, Guess.
M28_SCENE_INTRO_01_GOHAN	M28	intro	GOHAN	Briefing; intent before tactics	The charter's ledger identifies this repeater. Cut it and the northern drone teams lose their coordinated picture.
M28_SCENE_INTRO_02_ICE	M28	intro	ICE	Briefing; intent before tactics	I cover your descent. If the splice takes longer, tell me. Silence isn't the same as having it handled.
M28_SCENE_OUTRO_01_GUESS	M28	outro	GUESS	Reflective; allow the response to land	That buys the bunker breathing room, not permanent invisibility. We still need fuel before its generator gives out.
M28_SCENE_OUTRO_02_GOHAN	M28	outro	GOHAN	Reflective; allow the response to land	Then we steal power we can store. I'm done making plans that depend on nobody noticing us forever.
M29_SCENE_INTRO_01_GUESS	M29	intro	GUESS	Briefing; intent before tactics	The bunker needs fuel. We take a road tanker from the rail depot and leave the rest. Enough to keep the lights on.
M29_SCENE_INTRO_02_ICE	M29	intro	ICE	Briefing; intent before tactics	I'll handle the transfer valve. Wait for my call before you pull out. No guessing what the other man has finished.
M29_SCENE_OUTRO_01_GOHAN	M29	outro	GOHAN	Reflective; allow the response to land	Generator reserves secured. The satellite gear still needs parts before I can read the offshore traffic cleanly.
M29_SCENE_OUTRO_02_GUESS	M29	outro	GUESS	Reflective; allow the response to land	I can run the ridge with those parts. I'll tell you when it stops feeling like a delivery.
M30_SCENE_INTRO_01_GUESS	M30	intro	GUESS	Briefing; intent before tactics	The satellite parts have to reach the bunker. Mount Josiah avoids the highway checks, but it gives me less room to recover.
M30_SCENE_INTRO_02_GOHAN	M30	intro	GOHAN	Briefing; intent before tactics	I chose the route from a map. You can reject it from the driver's seat. I won't call that failing the plan.
M30_SCENE_OUTRO_01_GUESS	M30	outro	GUESS	Reflective; allow the response to land	Parts delivered. Next time we walk through the drop-offs before you call a line on a map a road.
M30_SCENE_OUTRO_02_ICE	M30	outro	ICE	Reflective; allow the response to land	Agreed. While Gohan fits them, we reinforce the perimeter. We can't afford another Cypress.
M31_SCENE_INTRO_01_ICE	M31	intro	ICE	Briefing; intent before tactics	The bunker survived because they haven't committed a full assault. These defenses buy warning and a route to withdraw.
M31_SCENE_INTRO_02_GUESS	M31	intro	GUESS	Briefing; intent before tactics	Good. Build an exit into the defense. I don't want another place we have to love until it kills us.
M31_SCENE_OUTRO_01_GOHAN	M31	outro	GOHAN	Reflective; allow the response to land	Perimeter is ready. Offshore defenses still outclass us; Zancudo has the EMP warheads that could change that.
M31_SCENE_OUTRO_02_ICE	M31	outro	ICE	Reflective; allow the response to land	Then we take the smallest team and the clearest route. No one earns trust by taking every risk himself.
M32_SCENE_INTRO_01_GOHAN	M32	intro	GOHAN	Briefing; intent before tactics	The rig's defenses need more than my portable pulse. Zancudo's warheads give us a way to shut them down.
M32_SCENE_INTRO_02_ICE	M32	intro	ICE	Briefing; intent before tactics	We'll get the hardware. We still need someone who knows what it protects. Weapons aren't an intelligence plan.
M32_SCENE_OUTRO_01_GOHAN	M32	outro	GOHAN	Reflective; allow the response to land	Warheads secured. We still lack access codes. An Aegis engineer named Ramos is marked for execution on the flats.
M32_SCENE_OUTRO_02_GUESS	M32	outro	GUESS	Reflective; allow the response to land	Then we go for Ramos as a person first. If he can't give us anything, we still bring him back.
M33_SCENE_INTRO_01_ICE	M33	intro	ICE	Briefing; intent before tactics	Ramos is being taken to an execution site. We interrupt it now. Questions can wait until he's out of their hands.
M33_SCENE_INTRO_02_GOHAN	M33	intro	GOHAN	Briefing; intent before tactics	I know what it's like when a powerful employer decides your name should disappear. Don't let them write his ending.
M33_SCENE_OUTRO_01_GUESS	M33	outro	GUESS	Reflective; allow the response to land	He's alive, but he's hurt. The half-track gets him through the wind farm. Nobody asks him for codes on a stretcher.
M33_SCENE_OUTRO_02_ICE	M33	outro	ICE	Reflective; allow the response to land	You heard him. We guard the man before we spend what he knows.
M34_SCENE_INTRO_01_GUESS	M34	intro	GUESS	Briefing; intent before tactics	Ramos needs a way through the storm. The half-track can take hits; he can't. Call targets without shouting over him.
M34_SCENE_INTRO_02_ICE	M34	intro	ICE	Briefing; intent before tactics	I'll cover your side. Gohan, stay with Ramos. He ought to hear one calm voice in this thing.
M34_SCENE_OUTRO_01_GOHAN	M34	outro	GOHAN	Reflective; allow the response to land	He's safe enough to talk when he's ready. His rig codes help, but an extraction still needs protection from aircraft.
