mission	summary
M11	Guess works at a visible engine module resting on the workbench. The opening walks him beside that bench and welding faces the equipment. The player then fabricates the mounts with an interruptible work animation. Ice operates the controller-friendly 20-30 PSI calibration; Gohan brings the harbor findings afterward.
M12	Gohan dives and scans the hull under patrol observation. Two armed launches hunt the sub back toward the jetty. After surfacing at the return marker, switch freely between the brothers and defeat both boat crews before the final debrief records the hull survey.
M13	Ice plants charges beside three anchored, buoyant tugs spread along the channel. Two armed launches pursue the return. Leave the water at the quay, board an empty passenger seat in Guess's car, then detonate from aboard.
M14	Ice clears the apron; Guess can board the plane under hangar fire. Fly below 50 meters ABOVE TERRAIN, with a six-second warning grace, and deliver the radar pod.
M15	The crew arrives at (1084.16, -3035.12, 5.53), heading 356.5. Gohan and Ice exit the car; Guess waits there. Reach the service area, stun three separated watchmen, splice the visible cabinet, then return to the original arrival car.
M16	Gohan automatically blacks out the base grid over the radio before the gate. Ice clears the hangar. Guess approaches the lift while Ice boards and Gohan takes the road car. Two armor responses are delayed until helicopter pickup; anti-air countermeasures and blackout remain through delivery and are restored on cleanup.
M17	Gohan prepares the three dock modules; Guess tests the lock; Gohan fits the release, then follows an explicit objective to board and collect the floating Kraken before the debrief.
M18	Gohan stages the sub. Guess lands the lift, collects the jammer from its box, then fits it at the rear of the helicopter. Ice parks the grounded hauler, collects launchers from the box, then loads them at the rear of the truck. Each vehicle and completed installation is recorded before the radio check.
M19	As Gohan, descend in the Kraken, work at the breach, clamp all marked floats and surface at the target while avoiding depth-charge pressure.
M20	Guess boards the Cargobob. Ice clears quayside gunners. Guess holds the aircraft at the container for the cable interaction and climbs with the attached load.
M21	Gohan pilots the launch alongside the moving Cargobob, clears hostile boat crews and reaches the coastal breakwater. Guess continues inland by air.
M22	Guess hovers over the Alamo drop point, releases the container, lands on shore and receives the foundry emergency call. Completion records the loss of Cypress.
M23	Guess drives all three brothers from the north access road to the staging point. After stopping, Ice takes point and clears the actual Grand Senora bunker entrance. Guess checks the exterior workbench, fuel drum and vehicle yard. Gohan powers the generator, enters the loaded underground bunker, inspects its passage and returns outside. Only successful completion unlocks repeat interior access. Ice and Guess retain their exterior posts during the inspection.
M24	Guess parks the recovery truck at the dry shoreline and works its cable while Ice defeats two response waves. Deliver the loaded truck before receiving the gold and cash.
M25	Ice takes the rail bridge, destroys the tanker from cover and holds three assault waves arriving from both tunnel-side approaches on the same elevation. Parachute toward the extraction boat, board as a passenger, then travel at least 100 meters from the actual pickup in the same boat with Guess at the helm before completion.
M26	Guess starts beside a full-footprint-checked Lazer on McKenzie's runway, aligned for takeoff. Destroy the lead spotter, keep the second alive while Gohan records its traffic, then destroy the second after clearance and land/stop the same aircraft back on the runway. The next job's Duster is staged separately, clear of takeoff.
M27	The previously parked Lazer is staged clear before the Duster is placed on McKenzie's runway along the takeoff heading. Guess flies with Ice, matches the Shamal, and the bounded transfer puts Ice in a real passenger seat. Take the ledger, bail out, parachute to Gohan and board the dinghy.
M28	Survey the visible relay worktable with split crew positions. Choose the feed, dispatch or cameras first; the response changes. Gohan connects the physical surge case and splices while Ice clears two squads. Verify the connection, board all three in the Granger and return to the radar yard. M28 completion opens SM04-SM06.
M29	Identify the coupled Phantom and tanker. Ice clears guards and uses the visible transfer laptop while Guess stages near the tractor and Gohan watches the approach. Deliver the loaded attached tanker under two staggered pursuit cars; they break off with the last quarter of the route remaining. Stop and unload, then verify the rig and reserve drums before the fuel is awarded.
M30	Start the actual 6x6 on its authored heading with a visible secured satellite case and both passengers aboard. Guess follows the bend and canyon exit under gunship pursuit; radio warnings leave driving under player control. The gunship breaks off at the exit. Deliver the same case to the bunker worktable, then switch to Gohan, get out and fit the receiver. Verify reception before completing the job.
SM01	Ice approaches Sergei's open loading lane north of the freight stacks. Clear six guards near the user-specified anchor, obtain the codes alive, collect two portable cases at accessible exterior points and secure them in the car. Confirm real attachments before announcing loaded; deliver both cases to Ice's home after losing pursuit.
SM02	Gohan starts on the street run-up, away from the building service door. Run to the entrance and take the faded maintenance stairs to the roof. The guards face away; stunning one makes his surviving partner respond. Keep both alive and incapacitated through the terminal tap, then return through the roof access before the trace expires. The bible synopsis has Gohan using Thermal Pulse on the biometric guards; that sight is Ice's now and this is a solo, so Gohan's Blackout is the tool: it kills the biometrics and stops the guards resolving what they see while he taps the node.
SM03	Bring an owned personal car; buy one first if none is owned, or retrieve/request it through the Garage app. Ready up on the city street grid, then beat two rivals along the same 278 road gates up the freeway and Chiliad trail to the summit. No cargo or ambush. The winner earns the existing $25,000 and transmission reward and keeps the personal car. The 278-gate road-graph route was replaced after a playtest: it covered 18.97 km to travel 7.27 km of straight line, 69 of its gates moved away from the finish, and it entered the Mount Chiliad zone four separate times. The sprint is the shortest chain through those same road positions now, 34 gates over 12.00 km, with the drivable gates snapped to real vehicle nodes at runtime and the mountain trail gates deliberately not snapped. KJ's grid fields the two cars of his own whose model top speed is closest to the one the player brought, with that model excluded: two stock Elegies against a built car is not a race, and two copies of the player's car is not his car any more.
SM04	Ice identifies two quarry marksmen, clears both posts, collects two physical radios at their marked nests and returns with both. Gohan confirms the copied channels over radio; Ice earns his Heavy Sniper Mk II on first completion.
SM05	Gohan takes the dinghy to a physical monitoring buoy, moors within 8m, swims to its marked service point and fits the interceptor. Verify telemetry, board the waiting dinghy and return to shore. First completion unlocks his Pistol Mk II.
SM06	Guess takes a coupled aviation-fuel rig through the canyon checkpoint without stopping. Evade the bikes, deliver both vehicles to McKenzie and hold them stopped and attached throughout unloading. Confirm the receiving equipment; first completion unlocks his SMG Mk II.
M31	Ice surveys three approaches, Gohan arms physical barrier charges, and Guess proves the retreat road. A two-car probing force arrives only after preparation. Defend the generator, inspect damage and lose pursuit. No decorative automatic turrets.
M32	Gohan approaches the Zancudo coastal service post by dinghy, uses the exterior access cabinet, and Ice clears four guards. Guess brings the crew car; Gohan carries and stows two separate cases. All three escape by road, lose police and unload the same cases at the bunker.
M33	Ice identifies Ramos and stops four guards. A 90-second rescue clock starts only at the firing line or nearby gunfire. Gohan frees him; Guess picks up Ramos in the front seat and both brothers in the rear. Deliver him to the waiting half-track for medical evacuation.
M34	Guess drives the three-seat half-track with Ramos in front and Ice at the rear gun. Gohan follows in the crew car, operating two visible road barriers only after both vehicles clear. Either vehicle can be controlled. Lose police and deliver Ramos to a medical kit at the bunker exterior.
M35	Ice plants two visible roadside charges, Guess blocks the far exit, and Gohan identifies the target on the field laptop. The convoy then drives into the pass. Stop the escort while preserving the technical, board all three in its actual seats, lose pursuit and deliver the same gun truck for inspection.
M36	Survey three visible coastal sensor housings in the sub, move the pickup away from a real patrol, and return with the recorded approach map.
M37	Steal and land two crop dusters at separate Sandy Shores markers, fit two smoke kits and verify both visible releases.
M38	Drive the Benson into the quarry as moving cover, clear the guards, release and carry four charge packages, escape the response and deliver the same loaded truck.
M39	Follow underwater route markers, attach and run a cutter on the visible seabed junction, defend the return shore and bring the sub home.
M40	Prepare hull kits for two Tropics at an open cove, test carried weapons on floating targets, check navigation and sea-test both loaded boats.
M41	Identify Bradley at an exterior lodge meeting, stop his escape, recover his physical card and extract with both brothers.
M42	Fly the Titan with an externally cradled Kraken, release over deep water, observe the actual parachute descent and pilot the floated sub to the cove.
M43	Position the submarine and surface launch, land the extraction helicopter, and verify the preparation ledger at a real shore laptop.
M51	The crew works inside the Palmer-Taylor switchyard. The bible's six 500kV step-down transformers are not props on this site - its switchyard is baked map geometry - so the six limpets go on six real plant units, in the two clusters of three the site actually has, 125 m apart at yard level. Ice takes the west bank, Guess the east and Gohan locks out the automatic failovers; the three jobs are parallel in one stage, so the player switches freely and does them in any order. The charges are left ARMED and nothing is detonated: the owner chose to hold the outage for the downtown tower offensive, so Core/WorldLights is deliberately untouched here and the mission records readiness as cargo instead. The authored line M51_S1_03_GOHAN counts the charges down and calls the blackout, so it is not fired in M51 and belongs to whichever later mission actually triggers the sequence. Guards are a three-man yard detail owned by the shared awareness model, not a spawn-time fight order.
M50	The splice happens on a Rockford Hills street, not inside an archive. There is no municipal archive in that zone - it is mansions - and no walkable records interior in the installed game, but the synopsis is already a conduit tap, so Gohan works a real placed street cabinet (prop_elecbox_11) in the most built-up part of the zone. Ice contains the private security NONLETHALLY through NonlethalGuards and SubdueTargetsObjective, because the story wants the crew to have been there without leaving bodies in Rockford Hills; Guess holds the van. The splice and the containment are parallel objectives in one stage, so the player chooses which man to be. The result is bounded and must stay bounded: the coordinated municipal feed is invalidated, local and physical copies remain, and nothing clears a wanted level. Two authored lines, M50_S1_01_GOHAN and M50_S1_02_ICE, describe a vault sub-level with automated turrets and a left corridor; that interior does not exist, so they are not fired and wait for one or for an authored revision. M50_S1_03_GOHAN - "that buys us time, not an acquittal" - is exactly the adapted result and is fired.
M54	Ron replaced the authored express-elevator breach with roof access by air, and the archives are why it holds up. Guess flies the crew from the Cypress Flats foundry yard in an Annihilator and lands on dt1_02_helipad, a real helipad on a Pillbox Hill tower roof deck at (-142.67, -593.35, 206.31). Ice sets two roosts on that deck and Gohan wires the antenna into prop_elecbox_23, the roof's own electrical cabinet, so every position takes its x and y from something Rockstar placed up there and its height from a downward probe onto the slab rather than from a prop origin. The probe runs on arrival rather than in Setup because collision two hundred meters over a building sixteen hundred meters away is not streamed while the crew is still in the yard, and all four roof keys are declared fixed surfaces so ground preparation cannot pull them down to the sidewalk. The tower is deliberately not Maze Bank: Maze Bank's roof carries the only other helipad in the city core, and M54_S1_02_ICE claims a firing line on Maze Bank Tower, which standing on a different roof keeps true. The building's lower tiers are unused, including prop_radiomast01 on the 199.13 deck, because nothing in the archives shows a man can walk down to it from the pad. M54_S1_01_GUESS clones an elevator keycard and goes unplayed; a radio line, M54_RADIO_01_GUESS, calls the roof approach in its place. The authored balcony and the forty-story residential tower are not reproduced, and no coordinate here has been walked on yet.
M53	The bible puts this under Pillbox Hill and two planning passes called it unbuildable, on the grounds that no placed entity exists below z=0 there. That was true and it was the wrong test: Downtown street level is about z 31 and the metro runs at z 13, twenty meters under the street and eighteen above the sea. The line is fully placed geometry - metro_station_3_seoul at (-497.73, -673.53, 13.64), metro_stat3join1 at (-437.69, -675.41, 13.64) where platform becomes tunnel, a straight run of metro_t_* sections all with their origins at 13.03 from x -437 to -345, the bend east at metro_t_stair (-341.91, -682.70), metro_newwalk1 at (-470.15, -714.52, 22.51) for the walk out, and the entrance structure kt1_09_seoul_subway at (-490.29, -714.59, 25.97). The tunnel run sits in the Downtown zone and the platform end in Little Seoul, so the machine-read district text names those rather than Pillbox Hill, which is the Downtown core the bible means. Because every section origin on the run is at 13.03 the floor is flat, so one downward probe at the carriage measures the real slab and its offset is applied to all seventeen tunnel points; seventeen separate probes would each be a chance to fail and would cost seconds of waiting in Setup. All seventeen are declared fixed surfaces, and the contractors go through a new EnemyAt path that skips the walkable-ground query outright, because that query accepts an answer up to 35 m away and the boulevard overhead is inside that tolerance - the ordinary Enemy(key) path is unchanged for every other mission. M53_S1_01_GOHAN states a sweep team of eight, so there are eight in two squads of four rather than a larger fight. Night vision is held by name through the new Core/NightVision owner and released in OnCleanup, which pass, failure, abort and death all run through, because goggles left on are a green screen the player cannot clear from any menu. The stalled carriage is a metrotrain created and left cold; if it will not create the ambush is reported thinner and still runs. The one number here that is judgment rather than reading is the three-meter offset across the bore between the carriage and the crew, on the assumption a two-track tunnel has room for both. Nobody has walked this tunnel with an F11 capture.
M56	The channel is baked terrain, so no placed-entity survey can find it the way none can find a road; an earlier pass guessed at (400, -1500) and surveyed a neighborhood. The archives do carry the channel's own section models, and they draw it end to end: sp1_12_riv_01 / river_end_1 at (-825.0, -1614.0), riv_03 at (-704.4, -1538.6), riv_06 at (-450.7, -1603.2), riv_08 at (-333.4, -1709.4), riv_09 at (-120.9, -1883.5) and riv_11 / river_end_2 at (54.1, -2135.4). Their own z values are useless because a section origin is the middle of a twenty-eight-meter box, which is why one reads 22.52 and its neighbor -0.28; the floor comes instead from a hundred and fifty pieces of litter, cardpiles, shopping trolleys and car wrecks lying on it between -0.77 and 1.36, median -0.40, in a band nineteen meters either side of the riv_08 to riv_09 line. So the floor is -0.40, the channel is about thirty-eight meters wide and the rim is at 28, and every point in the mission is placed along that measured centerline. The stretch sits in the La Puerta and Maze Bank Arena zones rather than the east-side river the name brings to mind: this is the western storm channel, the one the archives describe with a measurable floor, and the machine-read district text names those zones. Because the floor is genuinely below sea level the channel keys carry a new channel kind, which keeps MissionSites.Prepare - it only grounds land - away from points whose walkable answer would be the street twenty-eight meters up, and tells validate_locations that a sunken channel is not a mistake. The authored lines are met rather than worked around: sp1_12_bridge_1fc at (-191.7, -1813.8, 29.63) sits between the two Scarab positions so the armor really does come north under a bridge, the two overpass gunners stand on that bridge at street level and are deliberately the only points here left to ordinary ground preparation, and scarab, halftrack and savage are all real models - the bible named a vehicle the game ships. Ice fires the half-track's own mount with no weapon loaned, so taking the Savage down with a .50 is slow on purpose, as the synopsis describes. A half-track has three seats, so all three ride in seats it has - Guess driving, Ice on the mount, Gohan in the cab - rather than through BoardBrothers, which would ask for a fourth. The run-out is back up-channel because the harbor end is wrecks and pallets with 0.7 m of clear floor. Nobody has driven this channel with an F11 capture.
M63	An earlier pass concluded downtown interiors were unavailable because the mod's MP apartment tiers all resolve to one interior location. That is true of those apartment tiers and false of everything else: the executive offices and tower garages are placed at their own buildings, each with its own IPL. The Maze Bank Tower is therefore walkable from the plaza to the roof - hei_dt1_11_carpark at (-84.13, -821.35, 36.71), imp_dt1_11_cargarage_a at (-84.22, -823.09, 221.00), ex_dt1_11_office_01a at (-73.80, -818.96, 242.39), imp_dt1_11_modgarage at (-73.90, -821.62, 284.00) and dt1_11_heliport at (-75.20, -818.95, 323.26) - with the plaza deck itself at dt1_11_dt1_plaza (-76.6, -825.6, 36.77), seven meters above the street, which is why every plaza key is a fixed surface. Guess rams the technical at the carpark portal, which is the tower's real vehicle entrance. One probe at that entrance measures the plaza deck and moves the other nine plaza points with it. The gun nests are placed for firing lines rather than squeezed into gaps, because the deck carries only sixty-eight placed things in its whole band. Ice is issued a grenade launcher because M63_S1_02_ICE says he clears a heavy gunner with one. The security core beside the entrance is derived from the entrance rather than taken from a placed prop; nobody has walked this plaza with an F11 capture.
M64	An earlier pass concluded downtown interiors were unavailable because the mod's MP apartment tiers all resolve to one interior location. That is true of those apartment tiers and false of everything else: the executive offices and tower garages are placed at their own buildings, each with its own IPL. The Maze Bank Tower is therefore walkable from the plaza to the roof - hei_dt1_11_carpark at (-84.13, -821.35, 36.71), imp_dt1_11_cargarage_a at (-84.22, -823.09, 221.00), ex_dt1_11_office_01a at (-73.80, -818.96, 242.39), imp_dt1_11_modgarage at (-73.90, -821.62, 284.00) and dt1_11_heliport at (-75.20, -818.95, 323.26) - with the plaza deck itself at dt1_11_dt1_plaza (-76.6, -825.6, 36.77), seven meters above the street, which is why every plaza key is a fixed surface. The ascent is the mid-tower floor at 221 rather than thirty floors of stairwell: that is the one interior between the carpark and the executive level. The falling elevator cars are not reproduced - there is no shaft with cars in it to drop anything down, and faking it with a prop dropped through an interior that has no shaft would be a set piece that lands nowhere - so M64_S1_01_ICE, which calls the falling car, is the one line of three that goes unplayed. Nothing inside the tower is authored: exactly one coordinate exists for that floor, its own MLO placement, so the six defender posts and the executive lift are offsets from where the crew actually arrives, resolved to walkable floor and falling back to the arrival point. Six posts all refusing means the floor did not stream, which fails the mission with a reason rather than handing the player an unopposed walk-through. The lift belongs to Guess by name, because M64_S1_03_GUESS is the man who blows the door.
M65	An earlier pass concluded downtown interiors were unavailable because the mod's MP apartment tiers all resolve to one interior location. That is true of those apartment tiers and false of everything else: the executive offices and tower garages are placed at their own buildings, each with its own IPL. The Maze Bank Tower is therefore walkable from the plaza to the roof - hei_dt1_11_carpark at (-84.13, -821.35, 36.71), imp_dt1_11_cargarage_a at (-84.22, -823.09, 221.00), ex_dt1_11_office_01a at (-73.80, -818.96, 242.39), imp_dt1_11_modgarage at (-73.90, -821.62, 284.00) and dt1_11_heliport at (-75.20, -818.95, 323.26) - with the plaza deck itself at dt1_11_dt1_plaza (-76.6, -825.6, 36.77), seven meters above the street, which is why every plaza key is a fixed surface. The boardroom is the executive office MLO at 242.39. The bible calls it the hundredth floor; 242 m is nearer the seventieth, and this is the building's own top interior. Vance, his terminal and his five bodyguards are all offsets from the arrival point rather than authored coordinates, for the same reason as M64. The one rule the fight has is that Gohan needs Vance's biometrics: shooting Vance before the escrow is open fails the mission with a reason rather than leaving it unfinishable, and the escrow stage is ordered before the execution stage so the authored lines fire in the order they were written.
M66	An earlier pass concluded downtown interiors were unavailable because the mod's MP apartment tiers all resolve to one interior location. That is true of those apartment tiers and false of everything else: the executive offices and tower garages are placed at their own buildings, each with its own IPL. The Maze Bank Tower is therefore walkable from the plaza to the roof - hei_dt1_11_carpark at (-84.13, -821.35, 36.71), imp_dt1_11_cargarage_a at (-84.22, -823.09, 221.00), ex_dt1_11_office_01a at (-73.80, -818.96, 242.39), imp_dt1_11_modgarage at (-73.90, -821.62, 284.00) and dt1_11_heliport at (-75.20, -818.95, 323.26) - with the plaza deck itself at dt1_11_dt1_plaza (-76.6, -825.6, 36.77), seven meters above the street, which is why every plaza key is a fixed surface. There is no antenna spire to climb. A survey of everything above the roof deck returns forty-eight entities and the tallest is 325.17, a ring of prop_air_lights_02b on the parapet, so the crew jumps from the roof edge instead. The authored lines survive untouched: M66_S1_02_ICE opens his chute at eight hundred feet and the roof is 323 m, about 1,060 feet, so that is a real number from a real height, and the Arcadius towers he glides between are real and on the line at (-139, -629). The Del Perro connector landing is a seed resolved to an actual road node at runtime, because roads are baked terrain and no placed-entity survey can find a lane; a missing node is reported and the seed used. Only the held brother goes off the roof under canopy; the moment he jumps, the other two are moved down beside the landing lane out of his sight, because leaving them on the roof under three gunships while all three had to survive failed the mission after the jump (September 22). The three-man descent the synopsis describes is one man jumping and two already waiting at the connector.
M55	The campaign had this down as unbuildable because every MP apartment interior resolves to one location, so three simultaneous penthouses were impossible. That is true of the MP apartment tiers the home system uses and false of the game's own high-end apartments, which sit at five different real downtown buildings - v_apartment_high at (-13.08, -593.62, 93.03), (-32.17, -579.02, 82.91), (-260.88, -953.56, 70.02), (-282.30, -954.78, 85.30) and (-460.61, -691.56, 69.88) - and are stock base map in hw1_blimp_interior ymaps with no DLC prefix. Nothing has to be requested and no interior has to be swapped when the player changes brother, so the mission is genuinely simultaneous: Ice at the first, Gohan 610 m away, Guess 460 m away, three parallel objectives with different owners in one stage under a single 300-second timer, exactly the window the synopsis sets. MissionSites.InteriorAt asks the engine whether all three MLOs are present before anybody is placed, because a missing one would drop a man into open sky ninety meters up. Only the three placements are authored; the four suite guards, the escrow terminal and the ledger vault are offsets from where each brother actually stands. M55_S1_04_ICE calls a parachute descent to the canal and is not fired: the nearest canal is eight hundred meters from a ninety-meter roof, which is not a glide, so they leave by a street regroup between the towers. Nobody has walked these penthouses. The blimp interiors have no door, so each brother leaves by a service elevator at his own arrival point that puts the crew at street level under their towers, found at runtime rather than authored. Every suite has security: Ice's four are the authored count, and the terminal and the vault each have three so those nodes are taken under fire.
SM07	The bible puts Major Sterling in a secure Del Perro hotel suite. There is no hotel interior in Del Perro or anywhere else - a sweep of every MLO in Los Santos returns apartments, offices, garages, a barber, a tattoo parlor, a coroner, a chop shop, a police hub and the finale bank, and no hotel - so the suite is v_apartment_high at (-260.88, -953.56, 70.02), a stock high-rise apartment interior at a real Pillbox Hill tower. It is a penthouse with private security and a view, which is what the mission needs; it is not Del Perro, and the district change is the one real divergence here. Only the placement is authored: Sterling and his four bodyguards are offsets from where Ice actually arrives. Sterling deliberately carries no RequireAsset contract, because that fails a mission when its entity dies and killing him is the objective. One thing for the author rather than the code: SM07_S2_03_ENEMY has Sterling shout 'Vance!' at Ice, and Vance is the Aegis CEO Ice kills in M65. That reads as a slip in the source; the extraction is never edited to follow gameplay, so the line fires as written and a revision belongs in data/dialogue_edits.json if it is wanted. Nobody has walked this suite.
SM08	The firm is the executive office MLO ex_dt1_02_office_01a at (-139.54, -629.08, 167.82), a real interior at the top of a real Pillbox Hill tower, which is the district the bible names. That is the same building whose roof deck M54 uses as the crew's nest a hundred and sixty meters higher, which is a coincidence of geography rather than a shared set. Office floors are DLC map data, so the floor is opened through the interior access service, which requests the IPL through DlcMaps, pins the room and confirms it is ready before anything is placed on it. The way up and the way down is a service elevator at the street below the tower: an office MLO has no walkable route to the street, so the sixty-second escape is the run back to that elevator (September 22). This solo does fire its charges, unlike M51: M51 holds the Palmer-Taylor outage because it belongs to a later mission's beat, whereas here the fire is the mission and SM08_S2_03_GOHAN counts sixty seconds to ash, so the thermite burns and those sixty seconds are a real escape clock that fails with a reason. Only the placement is authored; the terminal, the paper vault and the three night guards are offsets from where Gohan actually arrives. Nobody has walked this floor.
M58	The compound is fixed by its vents. Gohan's line disperses tear gas into the HVAC, and the Mirror Park block at (1072 to 1139, -777 to -784) carries prop_roofvent_04a at (1072.4, -778.1, 60.34) and (1138.5, -779.7, 63.23) with prop_aircon_m_03 and prop_aircon_s_01a between them - two roof vents 66 m apart on a residential block, which is the one thing the geography had to provide. Everything else here is at street level in an ordinary neighborhood at z 56 to 63, so there are no fixed surfaces and no probes: the engine's walkable query is right about a street and overriding it would be inventing a problem. The two vent keys keep their own archive heights because Gohan reaches up to them rather than standing on them. The compound gate is a road, so it is a seed resolved to an actual road node at runtime, the same as M49's checkpoint. The hauler is an insurgent rather than a named armored hauler, and Ice is issued an MG because the synopsis puts him behind one. Nobody has walked this cul-de-sac.
M59	The archives handed this one back almost untouched. Twelve maintenance ladders run the length of the Vinewood sign - ch2_03_ladder_mesh_02 through _13, from (690.4, 1201.8, 333.7) to (781.7, 1174.5, 332.3), with prop_vinewood_sign_01 at (774.66, 1175.66, 331.82) among them - so Ice really is on the letters, on geometry Rockstar put there for climbing rather than a position invented for him. The transmitter is real too: prop_radiomast02 at (217.06, 1140.44, 230.26) with prop_aircon_m_08 and prop_aircon_m_02 at its base between 230.3 and 235.7. The two are 522 m apart, both on high ground, which is a genuine marksman's overwatch and the reason the mission starts its two brothers half a kilometer from each other. One adaptation: Gohan does not climb the mast. A prop_radiomast02 is a lattice with no ladder and no collision a ped can use, so he works the relay at its base among the plant that is actually placed there. The roost is a fixed surface and its height is still probed onto the real letter top rather than trusted, because a ladder prop's origin is not a floor. The Aegis shooters ride the helicopter rather than being placed on the sign, because the only standing points up there are the ladders Ice is on. Nobody has climbed this sign.
M60	Built as what it is: SurviveWavesObjective with three waves, which is the objective the campaign already had for this shape. Davis is an ordinary neighborhood at z 19 to 22 - 559 of 572 surveyed entities sit under 26 - so there are no fixed surfaces and no probes anywhere in it. Two authored beats are not reproduced, in both cases because the mission would be lying about the world. M60_S1_03_GOHAN sets EMP charges under the streetlamps to kill APC engines: there is no EMP in the game and no engine-kill that reads as one, and faking it by flipping IsDriveable on a healthy vehicle is a wrecked APC with no cause on screen. M60_S1_05_GOHAN detonates an underground gas main: there is no gas main under Davis in the archives and no placed geometry to blow, and an explosion with nothing under it is a flash on a road. The other four lines fire. M60_S1_04_ICE puts Ice on a church roof with the LMG; that roof is not modeled either, so he is issued the LMG and picks his own ground, which is what a street defense is. Each wave is spread five meters per man along its approach, because five men asked for one square meter is what made M35 refuse to load. Nobody has walked this block.
M61	The port basin is measured: the Terminal Island quay edge runs along y=-2899 with prop_dock_moor_04 and prop_dock_moor_01 from x 966 to 1225, and the container stacks start at x 958, so everything west of that is open water. Its depth is checked at runtime, the same check M13 and M57 carry, because a water key that is dry is a mission that cannot start. The wreck itself is not a modeled hulk - there is no half-submerged gunship in the archives - so it is a maverick placed on the basin floor, dead and undriveable, which is the right object in the right place with the server inside it. The mission leans on the dive machinery M36 to M43 already built rather than inventing a second one. Nobody has dived this basin.
M62	Read this one before changing it: it is the least verifiable mission in the campaign. Everything else in Act III stands on placed geometry that can be checked offline and a train cannot be. What is verified is the line it stands on - po1_05_railriver1, _2 and _3 at (439.07, -2737.60, 2.76), (440.95, -2646.64, 2.27) and (439.53, -2504.07, 2.58), a rail bridge running north to south at x about 440, over water, for 230 m. That gives all three authored lines what they need: flatbeds to fight along, sixty yards of water beside them for Gohan's boat, and arches for Guess to drop a sling between. The bible says the Pacific Coast Highway; the PCH rail has no placed entities to survey from and this does, so the crossing moved to the port basin. The consist is requested with CREATE_MISSION_TRAIN, which is the only way to put a train on the actual rails, and nobody can test its behavior from here - so a null return is not a failure: ordinary freight and freightcar vehicles stand on the bridge instead, which makes it Aegis loading rather than Aegis leaving, and every objective still works. This is the mission to play first.
