key	x	y	z	heading	kind	status	district_hint
M21.ShoreLanding	1130.000	-3365.000	0.000	0	water	estimate	Terminal southern quay water approach; boarding route needs live survey
M21.RoadPickup	1130.000	-3340.000	6.000	90	land	estimate	Terminal southern quay pickup; boarding route needs live survey
M22.AlamoDrop	1150.000	4200.000	30.000	0	water	estimate	Alamo Sea / Alamo west inlet, six-meter minimum sampled depth; CodeWalker checked, live survey pending
M22.Beach	1100.000	4250.000	32.180	0	land	estimate	Alamo Sea / Alamo west inlet dry bank; CodeWalker checked, live survey pending
M22.RoadArrival	1100.000	4450.000	61.427	180	land	estimate	Mount Chiliad / Alamo west inlet road approach; CodeWalker checked, live survey pending
M23.Approach	846	2946	49.122	0	land	estimate	Grand Senora Desert bunker - installed Enhanced collision checked; live survey pending
M23.Entrance	848.9076	2996.916	45.44828	0	land	estimate	Bunker hatch platform; position from successful live entry on September 13; preserve above terrain navmesh
M23.ToolBay	863	2980	44.527	90	land	estimate	Grand Senora Desert bunker - installed Enhanced collision checked; live survey pending
M23.FuelBay	869	2992	43.709	0	land	estimate	Grand Senora Desert bunker - installed Enhanced collision checked; live survey pending
M23.VehicleBay	860	2964	45.636	0	land	estimate	Grand Senora Desert bunker - installed Enhanced collision checked; live survey pending
M23.PowerPanel	860	2998	42.285	0	land	estimate	Grand Senora Desert bunker - installed Enhanced collision checked; live survey pending
M23.EscapeRoad	868	3078	39.729	0	land	estimate	Grand Senora Desert bunker - installed Enhanced collision checked; live survey pending
M24.CraneSpawn	1090.000	4250.000	34.111	180	land	estimate	Alamo Sea / Alamo dry recovery bank; CodeWalker checked, live survey pending
M24.DredgePoint	1150.000	4200.000	30.000	0	water	estimate	Alamo Sea / Same Alamo cache as M22; CodeWalker checked, live survey pending
M24.RidgeLine	1100.000	4450.000	61.427	180	land	estimate	Mount Chiliad / Alamo road lookout; CodeWalker checked, live survey pending
M24.RidgeRoad	1089.000	4437.500	61.406	110	land	estimate	Mount Chiliad / Alamo north access road; CodeWalker checked, live survey pending
M25.BridgeDeck	-515.000	4420.000	89.045	172	land	estimate	Cassidy Creek / Raton railway span; CodeWalker checked, live survey pending
M25.DeckApproach	-527.000	4515.000	89.034	172	land	estimate	Raton Canyon / Raton railway north approach; CodeWalker checked, live survey pending
M25.RimPost	-400.000	4350.000	55.174	320	land	estimate	Raton Canyon / Raton south bank lookout; CodeWalker checked, live survey pending
M25.TankerSpot	-506.000	4360.000	89.042	172	land	estimate	Raton Canyon / Raton railway southern access blocked by tanker; CodeWalker checked, live survey pending
M25.Riverbed	-370.000	4435.000	30.000	90	water	estimate	Cassidy Creek / Raton river mouth extraction east of span; CodeWalker checked, live survey pending
M26.DusterPad	2130.00	4790.00	41.00	160	land	estimate	Grapeseed
M26.PatrolBox	900.00	4200.00	220.00	0	air	estimate	Alamo Sea
M27.FormUp	-100.00	5000.00	700.00	270	air	estimate	Mount Chiliad
M27.JetTrack	-1400.00	5200.00	700.00	250	air	estimate	Mount Chiliad
M27.SeaPickup	3560.000	5190.000	0.000	250	water	estimate	Mount Gordo / open water 110 m off El Gordo Lighthouse, under the McKenzie departure path; the old point was 5.6 km away at the other end of the north coast, which is why the glide could not reach it
M27.Shore	3400.000	5180.000	0.000	210	water	estimate	Pacific Ocean / the water directly under El Gordo Lighthouse, 40 m off the headland; the boat leg ends here rather than on a beach, because at the waterline the land is below sea level
M27.Landing	3400.000	5140.000	12.000	200	land	estimate	El Gordo Lighthouse / the headland above the water landing, 45 m from the tower; archives show 46 m clear for a vehicle, live survey pending
M27.Depot	1975.000	4985.000	39.800	90	land	estimate	Grapeseed / apron beside the pipe-department shed at (2001, 4980, 43.2), 1.4 km from the lighthouse; archives show 18 m clear, live survey pending
Home.Ice	-1112.0	-1578.0	4.5	120	land	estimate	Vespucci Canals
Home.Gohan	-693.0	-1004.0	20.0	90	land	estimate	Little Seoul
Home.Guess	1169.0	-1650.0	36.0	90	land	estimate	El Burro Heights
Apartment.Starter.Ice	-667.02	-1105.24	14.63	242	land	estimate	Little Seoul
Apartment.Starter.Gohan	-1288.52	-430.51	35.15	124	land	estimate	Richards Majestic
Apartment.Starter.Guess	291.517	-1078.674	29.405	270	land	estimate	Mission Row
Apartment.Luxury.Entrance	-773.6176	299.3455	85.7201	3	land	estimate	Rockford Hills
Apartment.Starter.Interior.Ice	261.4586	-998.8196	-99.00863	0	underground	estimate	
Apartment.Starter.Interior.Gohan	347.2686	-999.2955	-99.19622	0	underground	estimate	
Apartment.Starter.Interior.Guess	-14.30	-1438.50	31.10	180	interior	estimate	the stock Strawberry house interior, behind the Mission Row door
Apartment.Top.Entrance	925.30	46.60	81.10	60	land	estimate	The Diamond, front doors
Apartment.Top.Interior	976.636	70.295	115.164	0	interior	estimate	The Diamond penthouse (two floors; IPL vw_casino_penthouse)
Apartment.Room.Ice.Door	261.46	-998.82	-99.01	180	underground	estimate	Ice's studio; survey inside
Apartment.Room.Ice.Message	261.46	-996.82	-99.01	0	underground	estimate	Ice's studio; survey inside
Apartment.Room.Ice.Wardrobe	263.16	-998.82	-99.01	90	underground	estimate	Ice's studio; survey inside
Apartment.Room.Ice.Bed	259.76	-998.82	-99.01	270	underground	estimate	Ice's studio; survey inside
Apartment.Room.Ice.Locker	262.66	-997.02	-99.01	0	underground	estimate	Ice's studio; survey inside
Apartment.Room.Gohan.Door	347.27	-999.30	-99.20	180	underground	estimate	Gohan's one-bedroom; survey inside
Apartment.Room.Gohan.Message	347.27	-997.30	-99.20	0	underground	estimate	Gohan's one-bedroom; survey inside
Apartment.Room.Gohan.Wardrobe	348.97	-999.30	-99.20	90	underground	estimate	Gohan's one-bedroom; survey inside
Apartment.Room.Gohan.Bed	345.57	-999.30	-99.20	270	underground	estimate	Gohan's one-bedroom; survey inside
Apartment.Room.Gohan.Locker	348.47	-997.50	-99.20	0	underground	estimate	Gohan's one-bedroom; survey inside
Apartment.Room.Guess.Door	-14.30	-1438.50	31.10	180	interior	estimate	Strawberry house; survey inside
Apartment.Room.Guess.Message	-14.30	-1436.50	31.10	0	interior	estimate	Strawberry house; survey inside
Apartment.Room.Guess.Wardrobe	-12.60	-1438.50	31.10	90	interior	estimate	Strawberry house; survey inside
Apartment.Room.Guess.Bed	-16.00	-1438.50	31.10	270	interior	estimate	Strawberry house; survey inside
Apartment.Room.Guess.Locker	-13.10	-1436.70	31.10	0	interior	estimate	Strawberry house; survey inside
Apartment.Luxury.Ice	-786.8663	315.7642	217.6385	0	interior	estimate	
Apartment.Luxury.Gohan	-774.0126	342.0428	196.6864	0	interior	estimate	
Apartment.Luxury.Guess	-786.9563	315.6229	187.9136	0	interior	estimate	
M28.Approach	737	2523	73	0	land	estimate	
M28.Relay	737	2573	75	0	land	estimate	
M28.Cover	730.000	2550.000	76.210	0	land	estimate	Grand Senora Desert / Relay hill, level shoulder beside the rock; CodeWalker geometry checked, awaiting live survey
M28.Pickup	641.000	2479.000	63.158	270	land	estimate	Grand Senora Desert / Relay extraction road; CodeWalker geometry checked, awaiting live survey
M28.Response	772.000	2562.000	75.711	180	land	estimate	Grand Senora Desert / Relay response road; CodeWalker geometry checked, awaiting live survey
M29.Approach	2414	4996	46	0	land	estimate	
M29.Cover	2451	5025	46	0	land	estimate	
M29.Valve	2486.000	5050.000	48.691	0	land	estimate	Grapeseed / Existing mission site, corrected support height; CodeWalker geometry checked, awaiting live survey
M29.Truck	2473	5007	46	225	land	estimate	
M29.Senora.Delivery	858	2968	45.403	0	land	estimate	Grand Senora Desert bunker - installed Enhanced collision checked; live survey pending
M30.Start	-432.500	3946.250	67.630	300	land	estimate	Mount Josiah / Calafia road approach; saved Bend and Exit retained; CodeWalker geometry checked, awaiting live survey
M30.Bend	-685	3996	130	0	land	estimate	
M30.Exit	-1083	4362	13	0	land	estimate	
SM04.Approach	2830.000	2790.000	57.649	0	land	estimate	Davis Quartz quarry, connected service tracks; CodeWalker geometry checked, awaiting live survey
SM04.Overlook	2860.000	2760.000	66.004	0	land	estimate	Davis Quartz quarry, connected service tracks; CodeWalker geometry checked, awaiting live survey
SM04.NestOne	2890.000	2820.000	55.597	0	land	estimate	Davis Quartz quarry, connected service tracks; CodeWalker geometry checked, awaiting live survey
SM04.NestTwo	2920.000	2850.000	55.867	0	land	estimate	Davis Quartz quarry, connected service tracks; CodeWalker geometry checked, awaiting live survey
SM05.Shore	-2780	2540	2.015	0	land	estimate	Lago Zancudo estuary mouth; CodeWalker geometry checked, awaiting live survey
SM05.Boat	-2780	2580	0.2	0	water	estimate	Lago Zancudo estuary mouth; CodeWalker geometry checked, awaiting live survey
SM05.Buoy	-2900	2580	0.2	0	water	estimate	Pacific Ocean / Zancudo estuary mouth; CodeWalker depth and direct boat route checked, awaiting live survey
SM06.Approach	-1085	2664	18	90	land	estimate	Open ground clear of the shop; verified empty in the archives
SM06.Truck	-1093	2671	18	90	land	estimate	Open ground clear of the shop; verified empty in the archives
Prologue.LSIACurb	-1034.6	-2731.9	13.76	330	land	estimate	Los Santos International Airport
Prologue.LSIACar	-1040.79	-2718.86	13.21	240.5	land	surveyed	Los Santos International Airport, the arrival car (Ron, September 12)
SM06.Bend	-1469.500	4474.500	18.139	0	land	estimate	Raton Canyon / Existing route, corrected road support; CodeWalker geometry checked, awaiting live survey
SM06.Delivery	2045.000	4780.000	40.300	110	land	estimate	Grapeseed / McKenzie apron; the previous point had 1.8 m of room among paint cans and box piles, this one is verified clear for 23.8 m in the archives; live survey pending
M19.Worksite	1100.000	-3420.000	0.000	0	water	estimate	Pacific Ocean / Terminal outer work basin; CodeWalker checked, live survey pending
M19.BullionSurface	1115.000	-3420.000	0.000	0	water	estimate	Pacific Ocean / Terminal hull-side preview; actual model bounds resolve runtime positions; CodeWalker checked, live survey pending
M04.IceWatch	218.08	-747.07	47.08	267.1	land	surveyed	Pillbox Hill, Ice's overwatch above the lot (Ron, September 12)
Base.CypressFlatsCar	866.96	-2104.50	29.92	353.8	land	surveyed	Cypress Flats, the crew's car at the base (Ron, September 12)
M05.LightCrew	2524.03	-1228.29	2.20	0.8	land	surveyed	Palomino Highlands, the beach where the generator crew works (Ron, September 12)
M05.Start	2304.40	-693.91	64.10	191.6	land	surveyed	Palomino Highlands, the road above the cove: M05's marker (Ron, September 12)
M07.IceStart	-75.47	-824.79	321.29	113.1	land	surveyed	Maze Bank Tower roof: Ice's jump-off (Ron, September 12)
Apartment.MissionRow.Interior	-35.31277	-580.4199	88.71221	0	interior	estimate	Pillbox Hill apartment shell behind personal street entrance; reference anchor, door and furniture need survey
Apartment.Room.MissionRow.Door	-35.31277	-580.4199	88.71221	0	interior	estimate	Pillbox Hill apartment shell behind personal street entrance; reference anchor, door and furniture need survey
Apartment.Room.MissionRow.Message	-35.31277	-580.4199	88.71221	0	interior	estimate	Pillbox Hill apartment shell behind personal street entrance; reference anchor, door and furniture need survey
Apartment.Room.MissionRow.Wardrobe	-35.31277	-580.4199	88.71221	0	interior	estimate	Pillbox Hill apartment shell behind personal street entrance; reference anchor, door and furniture need survey
Apartment.Room.MissionRow.Bed	-35.31277	-580.4199	88.71221	0	interior	estimate	Pillbox Hill apartment shell behind personal street entrance; reference anchor, door and furniture need survey
Apartment.Room.MissionRow.Locker	-35.31277	-580.4199	88.71221	0	interior	estimate	Pillbox Hill apartment shell behind personal street entrance; reference anchor, door and furniture need survey
Garage.Eclipse	-798.000	300.000	85.744	3	land	estimate	CodeWalker collision-checked building approach; live door survey still available
Garage.Diamond	903.000	30.000	79.821	60	land	estimate	CodeWalker collision-checked building approach; live door survey still available
Garage.MissionRow	259.000	-1112.000	29.487	270	land	estimate	CodeWalker collision-checked building approach; live door survey still available
Garage.LittleSeoul	-682.000	-1112.000	14.525	0	land	estimate	CodeWalker collision-checked building approach; live door survey still available
Garage.Richards	-1294.000	-466.000	34.777	0	land	estimate	CodeWalker collision-checked building approach; live door survey still available
Garage.PopularStreet	805.000	-1021.000	26.072	0	land	estimate	CodeWalker collision-checked building approach; live door survey still available
Garage.Rancho	441.000	-1725.000	29.338	0	land	estimate	CodeWalker collision-checked building approach; live door survey still available
Garage.DelPerro	-1198.000	-1568.000	4.617	0	land	estimate	CodeWalker collision-checked building approach; live door survey still available
Garage.Vinewood	200.000	292.000	105.595	0	land	estimate	CodeWalker collision-checked building approach; live door survey still available
Garage.Pillbox	258.000	-404.000	45.276	0	land	estimate	CodeWalker collision-checked building approach; live door survey still available
Hideout.Foundry.Entrance	866.000	-2122.000	30.499	0	land	estimate	CodeWalker collision-checked building approach; live door survey still available
Hideout.Foundry.Interior	998.4809	-3164.711	-38.90733	90	interior	estimate	Industrial clubhouse reference anchor; survey furniture spots inside; services available at entry
Hideout.Foundry.Room.Door	998.4809	-3164.711	-38.90733	90	interior	estimate	Industrial clubhouse reference anchor; survey furniture spots inside; services available at entry
Hideout.Foundry.Room.Planning	998.4809	-3164.711	-38.90733	90	interior	estimate	Industrial clubhouse reference anchor; survey furniture spots inside; services available at entry
Hideout.Foundry.Room.Wardrobe	998.4809	-3164.711	-38.90733	90	interior	estimate	Industrial clubhouse reference anchor; survey furniture spots inside; services available at entry
Hideout.Foundry.Room.Bed	998.4809	-3164.711	-38.90733	90	interior	estimate	Industrial clubhouse reference anchor; survey furniture spots inside; services available at entry
Hideout.Foundry.Room.Locker	998.4809	-3164.711	-38.90733	90	interior	estimate	Industrial clubhouse reference anchor; survey furniture spots inside; services available at entry
M09.IceStart	490.000	2700.000	42.938	180	land	estimate	Harmony roadside lookout; CodeWalker geometry checked, awaiting live survey
M09.GohanStart	1965.000	3055.000	46.845	180	land	estimate	Grand Senora Desert / Desert staging apron, clear of landing rotor; CodeWalker geometry checked, awaiting live survey
M11.FlatbedSpawn	844.000	-2060.000	29.855	180	land	estimate	Cypress Flats / Foundry north apron engine delivery; CodeWalker checked, live survey pending
M11.GohanStart	862.000	-2060.000	30.180	180	land	estimate	Cypress Flats / Foundry north apron radio arrival; CodeWalker checked, live survey pending
M11.IceStart	844.000	-2090.000	30.090	270	land	estimate	Cypress Flats / Foundry tool station beside dyno; CodeWalker checked, live survey pending
M11.GuessStart	856.000	-2084.000	30.162	180	land	estimate	Cypress Flats / Foundry bay approach; CodeWalker checked, live survey pending
M25.HunterApproach	-527.000	4515.000	89.034	172	land	estimate	Raton Canyon / Raton railway assault approach; CodeWalker checked, live survey pending
M24.RecoveryPad	1100.000	4250.000	32.180	180	land	estimate	Alamo Sea / Alamo dry recovery pad; CodeWalker checked, live survey pending
M24.GohanWork	1100.000	4240.000	31.628	140	land	estimate	Alamo Sea / Alamo shoreline cable controls on dry ground; CodeWalker checked, live survey pending
M24.IceStart	1100.000	4450.000	61.427	180	land	estimate	Mount Chiliad / Alamo road lookout; CodeWalker checked, live survey pending
M13.AlarmSpawn	-900	-1580	0.000	315	water	estimate	La Puerta / AlarmSpawn; map preflight, live survey pending
Garage.Eclipse.VehicleSpawn	-798.500	285.500	86.063	3	land	estimate	Separate road node for vehicle retrieval; not the purchase marker
Garage.Diamond.VehicleSpawn	902.000	24.000	79.25	60	land	estimate	Separate road node for vehicle retrieval; not the purchase marker
Garage.MissionRow.VehicleSpawn	261.250	-1131.250	29.406	270	land	estimate	Separate road node for vehicle retrieval; not the purchase marker
Garage.LittleSeoul.VehicleSpawn	-688.000	-1108.000	14.5	0	land	estimate	Separate road node for vehicle retrieval; not the purchase marker
Garage.Richards.VehicleSpawn	-1315.000	-477.750	33.438	0	land	estimate	Separate road node for vehicle retrieval; not the purchase marker
Garage.PopularStreet.VehicleSpawn	801.500	-1005.250	26.125	0	land	estimate	Separate road node for vehicle retrieval; not the purchase marker
Garage.Rancho.VehicleSpawn	455.500	-1731.500	28.906	0	land	estimate	Separate road node for vehicle retrieval; not the purchase marker
Garage.DelPerro.VehicleSpawn	-1187.000	-1565.500	4.281	0	land	estimate	Separate road node for vehicle retrieval; not the purchase marker
Garage.Vinewood.VehicleSpawn	233.250	275.000	105.563	0	land	estimate	Separate road node for vehicle retrieval; not the purchase marker
Garage.Pillbox.VehicleSpawn	273.500	-379.000	44.938	0	land	estimate	Separate road node for vehicle retrieval; not the purchase marker
M05.Chase1	2600	-1300	0	0	water	estimate	Pacific Ocean, offshore chase water route; CodeWalker segment audit
M05.Chase2	2700	-1300	0	0	water	estimate	Pacific Ocean, offshore chase water route; CodeWalker segment audit
M05.Chase3	2750	-1200	0	0	water	estimate	Pacific Ocean, offshore chase water route; CodeWalker segment audit
